time,la_x,la_y,uwb_x,uwb_y,vel_linear_x,vel_angular_z,mpu_ang_vel_z,mpu_linear_acc_x,mpu_linear_acc_y,odom_linear_x,odom_angular_z,odom_filtered_linear_x,odom_filtered_angular_z,odom_yaw,odom_filtered_yaw
1622816671.250375,0.0,0.0,0.0,0.0,,,,,,0.0,0.001833008399254401,0.0,0.001629983902297803,8.591425680064819e-05,0.0015133671975347221
1622816671.250375,0.0,0.0,0.0,0.0,,,,,,0.0,0.001833008399254401,0.0,0.001629983902297803,8.591425680064819e-05,0.0015133671975347221
1622816671.332375,0.0,0.0,0.0,0.0,,,,,,0.0,0.0018806206668668122,0.0,0.0017083334625686395,0.00012936908152073323,0.0015945976478303646
1622816671.332375,0.0,0.0,0.0,0.0,,,,,,0.0,0.0018806206668668122,0.0,0.0017083334625686395,0.00012936908152073323,0.0015945976478303646
1622816671.332375,0.0,0.0,0.0,0.0,,,,,,0.0,0.0018806206668668122,0.0,0.0017083334625686395,0.00012936908152073323,0.0015945976478303646
1622816671.332375,0.0,0.0,1.88,2.21,,,,,,0.0,0.0018806206668668122,0.0,0.0017083334625686395,0.00012936908152073323,0.0015945976478303646
1622816671.332375,0.0,0.0,1.88,2.21,0.0,0.0,,,,0.0,0.0018806206668668122,0.0,0.0017083334625686395,0.00012936908152073323,0.0015945976478303646
1622816671.370375,0.0,0.0,1.88,2.21,0.0,0.0,,,,0.0,0.0018039728876674069,0.0,0.0016909564412392675,8.660979318405847e-05,0.001573656397830878
1622816671.370375,0.0,0.0,1.88,2.21,0.0,0.0,,,,0.0,0.0018039728876674069,0.0,0.0016909564412392675,8.660979318405847e-05,0.001573656397830878
1622816671.370375,0.0,0.0,1.88,2.21,0.0,0.0,,,,0.0,0.0018039728876674069,0.0,0.0016909564412392675,8.660979318405847e-05,0.001573656397830878
1622816671.370375,0.0,0.0,1.88,2.21,0.0,0.0,,,,0.0,0.0018039728876674069,0.0,0.0016909564412392675,8.660979318405847e-05,0.001573656397830878
1622816671.370375,0.0,0.0,1.88,2.21,0.0,0.0,,,,0.0,0.0018039728876674069,0.0,0.0016909564412392675,8.660979318405847e-05,0.001573656397830878
1622816671.436375,0.0,0.0,1.88,2.21,0.0,0.0,,,,0.0,0.0018386342415396173,0.0,0.0017069014864665628,9.81337211140396e-05,0.0016087534213656855
1622816671.436375,0.0,0.0,1.88,2.21,0.0,0.0,,,,0.0,0.0018386342415396173,0.0,0.0017069014864665628,9.81337211140396e-05,0.0016087534213656855
1622816671.436375,0.0,0.0,1.87,2.2,0.0,0.0,,,,0.0,0.0018386342415396173,0.0,0.0017069014864665628,9.81337211140396e-05,0.0016087534213656855
1622816671.436375,0.0,0.0,1.87,2.2,0.0,0.0,,,,0.0,0.0018386342415396173,0.0,0.0017069014864665628,9.81337211140396e-05,0.0016087534213656855
1622816671.436375,0.0,0.0,1.87,2.2,0.0,0.0,,,,0.0,0.0018386342415396173,0.0,0.0017069014864665628,9.81337211140396e-05,0.0016087534213656855
1622816671.490375,0.0,0.0,1.87,2.2,0.0,0.0,,,,0.0,0.001734069089974055,0.0,0.0016538576548417567,8.394930090804062e-05,0.0016083906127388693
1622816671.490375,0.0,0.0,1.87,2.2,0.0,0.0,,,,0.0,0.001734069089974055,0.0,0.0016538576548417567,8.394930090804062e-05,0.0016083906127388693
1622816671.490375,0.0,0.0,1.87,2.2,0.0,0.0,,,,0.0,0.001734069089974055,0.0,0.0016538576548417567,8.394930090804062e-05,0.0016083906127388693
1622816671.490375,0.0,0.0,1.87,2.2,0.0,0.0,,,,0.0,0.001734069089974055,0.0,0.0016538576548417567,8.394930090804062e-05,0.0016083906127388693
1622816671.490375,0.0,0.0,1.87,2.2,0.0,0.0,,,,0.0,0.001734069089974055,0.0,0.0016538576548417567,8.394930090804062e-05,0.0016083906127388693
1622816671.550375,0.0,0.0,1.87,2.2,0.0,0.0,,,,0.0,0.0016053356408076865,0.0,0.0015684655980985715,7.936147456152037e-05,0.0016109869152113575
1622816671.550375,0.0,0.0,1.89,2.2,0.0,0.0,,,,0.0,0.0016053356408076865,0.0,0.0015684655980985715,7.936147456152037e-05,0.0016109869152113575
1622816671.550375,0.0,0.0,1.89,2.2,0.0,0.0,,,,0.0,0.0016053356408076865,0.0,0.0015684655980985715,7.936147456152037e-05,0.0016109869152113575
1622816671.550375,0.0,0.0,1.89,2.2,0.0,0.0,,,,0.0,0.0016053356408076865,0.0,0.0015684655980985715,7.936147456152037e-05,0.0016109869152113575
1622816671.550375,0.0,0.0,1.89,2.2,0.0,0.0,,,,0.0,0.0016053356408076865,0.0,0.0015684655980985715,7.936147456152037e-05,0.0016109869152113575
1622816671.550375,0.0,0.0,1.89,2.2,0.0,0.0,,,,0.0,0.0016053356408076865,0.0,0.001539830617071589,7.936147456152037e-05,0.0015282661069745752
1622816671.550375,0.0,0.0,1.89,2.2,0.0,0.0,,,,0.0,0.0016053356408076865,0.0,0.001539830617071589,7.936147456152037e-05,0.0015282661069745752
1622816671.550375,0.0,0.0,1.89,2.2,0.0,0.0,,,,0.0,0.0016053356408076865,0.0,0.001539830617071589,7.936147456152037e-05,0.0015282661069745752
1622816671.550375,0.0,0.0,1.89,2.2,0.0,0.0,,,,0.0,0.0016053356408076865,0.0,0.001539830617071589,7.936147456152037e-05,0.0015282661069745752
1622816671.550375,0.0,0.0,1.89,2.2,0.0,0.0,,,,0.0,0.0016053356408076865,0.0,0.001539830617071589,7.936147456152037e-05,0.0015282661069745752
1622816671.6325202,0.0,0.0,1.89,2.2,0.0,0.0,,,,0.0,0.001695095996510504,0.0,0.0015719871728143019,0.00010598584206368097,0.0015920344841989856
1622816671.6325202,0.0,0.0,1.88,2.2,0.0,0.0,,,,0.0,0.001695095996510504,0.0,0.0015719871728143019,0.00010598584206368097,0.0015920344841989856
1622816671.6325202,0.0,0.0,1.88,2.2,0.0,0.0,,,,0.0,0.001695095996510504,0.0,0.0015719871728143019,0.00010598584206368097,0.0015920344841989856
1622816671.6325202,0.0,0.0,1.88,2.2,0.0,0.0,,,,0.0,0.001695095996510504,0.0,0.0015719871728143019,0.00010598584206368097,0.0015920344841989856
1622816671.6325202,0.0,0.0,1.88,2.2,0.0,0.0,,,,0.0,0.001695095996510504,0.0,0.0015719871728143019,0.00010598584206368097,0.0015920344841989856
1622816671.6785202,0.0,0.0,1.88,2.2,0.0,0.0,,,,0.0,0.0016123294393929775,0.0,0.00153258248307232,7.82320373293721e-05,0.001575920782708747
1622816671.6785202,0.0,0.0,1.88,2.2,0.0,0.0,,,,0.0,0.0016123294393929775,0.0,0.00153258248307232,7.82320373293721e-05,0.001575920782708747
1622816671.6785202,0.0,0.0,1.88,2.2,0.0,0.0,,,,0.0,0.0016123294393929775,0.0,0.00153258248307232,7.82320373293721e-05,0.001575920782708747
1622816671.6785202,0.0,0.0,1.88,2.2,0.0,0.0,,,,0.0,0.0016123294393929775,0.0,0.00153258248307232,7.82320373293721e-05,0.001575920782708747
1622816671.6785202,0.0,0.0,1.88,2.2,0.0,0.0,,,,0.0,0.0016123294393929775,0.0,0.00153258248307232,7.82320373293721e-05,0.001575920782708747
1622816671.7385201,0.0,0.0,1.88,2.2,0.0,0.0,,,,0.0,0.001908423208334707,0.0,0.00153258248307232,8.640628081861612e-05,0.001575920782708747
1622816671.7385201,0.0,0.0,1.9,2.21,0.0,0.0,,,,0.0,0.001908423208334707,0.0,0.001641091321785996,8.640628081861612e-05,0.0015881479174748884
1622816671.7385201,0.0,0.0,1.9,2.21,0.0,0.0,,,,0.0,0.001908423208334707,0.0,0.001641091321785996,8.640628081861612e-05,0.0015881479174748884
1622816671.7385201,0.0,0.0,1.9,2.21,0.0,0.0,,,,0.0,0.001908423208334707,0.0,0.001641091321785996,8.640628081861612e-05,0.0015881479174748884
1622816671.7385201,0.0,0.0,1.9,2.21,0.0,0.0,,,,0.0,0.0017884697644634483,0.0,0.001641091321785996,8.478658245412588e-05,0.0015881479174748884
1622816671.79852,0.0,0.0,1.9,2.21,0.0,0.0,,,,0.0,0.0017884697644634483,0.0,0.0016296420615564682,8.478658245412588e-05,0.001597100842784765
1622816671.79852,0.0,0.0,1.9,2.21,0.0,0.0,,,,0.0,0.0017884697644634483,0.0,0.0016296420615564682,8.478658245412588e-05,0.001597100842784765
