time,predicted_x,corrected_x,uwb_x,uwb_y
1622730786.396863,2.0362805240366355,2.839927671813405,2.84,1.86
1622730786.401184,2.839927671813405,2.8399639911251056,2.84,1.86
1622730786.412057,2.8399639911251056,2.8399761665918417,2.84,1.86
1622730786.424112,2.8399761665918417,2.839982304138779,2.84,1.86
1622730786.43014,2.839982304138779,2.839986024762759,2.84,1.86
1622730786.435202,2.839986024762759,2.8399885351613707,2.84,1.86
1622730786.437214,2.8399885351613707,2.83999035224814,2.84,1.86
1622730786.446888,2.83999035224814,2.8399917343000203,2.84,1.86
1622730786.455865,2.8399917343000203,2.839992824678366,2.84,1.86
1622730786.46472,2.839992824678366,2.8399937093188825,2.84,1.86
1622730786.482461,2.8399937093188825,2.8399944428633144,2.84,1.86
1622730786.494223,2.8399944428633144,2.8422223269865516,2.86,1.84
1622730786.502092,2.8422223269865516,2.844128131646899,2.86,1.84
1622730786.50546,2.844128131646899,2.845776790192226,2.86,1.84
1622730786.509226,2.845776790192226,2.8472160588176494,2.86,1.84
1622730786.516888,2.8472160588176494,2.8484819258054945,2.86,1.84
1622730786.524228,2.8484819258054945,2.849602103652881,2.86,1.84
1622730786.529674,2.849602103652881,2.85059834979404,2.86,1.84
1622730786.534041,2.85059834979404,2.8514880478820537,2.86,1.84
1622730786.537889,2.8514880478820537,2.8522853089773292,2.86,1.84
1622730786.542466,2.8522853089773292,2.853001753297798,2.86,1.84
1622730786.548796,2.853001753297798,2.853647074821387,2.86,1.84
1622730786.556163,2.853647074821387,2.8542294554676566,2.86,1.84
1622730786.562112,2.8542294554676566,2.8547558733293847,2.86,1.84
1622730786.567388,2.8547558733293847,2.855232335160301,2.86,1.84
1622730786.573255,2.855232335160301,2.8556640539845985,2.86,1.84
1622730786.577166,2.8556640539845985,2.856055586458902,2.86,1.84
1622730786.584905,2.856055586458902,2.8564109403829714,2.86,1.84
1622730786.589514,2.8564109403829714,2.856733659835044,2.86,1.84
1622730786.596319,2.856733659835044,2.85702689336548,2.86,1.84
1622730786.599594,2.85702689336548,2.856396892523668,2.85,1.86
1622730786.605847,2.856396892523668,2.8558240039904024,2.85,1.86
1622730786.609412,2.8558240039904024,2.855302896668898,2.85,1.86
1622730786.613841,2.855302896668898,2.8548287743131837,2.85,1.86
1622730786.619142,2.8548287743131837,2.85439731305984,2.85,1.86
1622730786.625708,2.854422904993827,2.854027914643049,2.85,1.86
1622730786.634955,2.854027914643049,2.8536683544650496,2.85,1.86
1622730786.641711,2.8536683544650496,2.853341008496623,2.85,1.86
1622730786.647088,2.853341008496623,2.8530429619141247,2.85,1.86
1622730786.652208,2.8530429619141247,2.8527715706102947,2.85,1.86
1622730786.656208,2.8527715706102947,2.8525244343662153,2.85,1.86
1622730786.661235,2.8525244343662153,2.852299373079586,2.85,1.86
1622730786.66641,2.852299373079586,2.852094405612771,2.85,1.86
1622730786.670586,2.852094405612771,2.8519077309036702,2.85,1.86
1622730786.676973,2.8519077309036702,2.851737711044789,2.85,1.86
1622730786.681636,2.8518733265157654,2.851706386273898,2.85,1.86
1622730786.695431,2.851706386273898,2.851554332962443,2.74,1.85
1622730786.700841,2.851554332962443,2.8416144586312884,2.74,1.85
1622730786.705378,2.8416144586312884,2.8325606778749295,2.74,1.85
1622730786.709467,2.8325606778749295,2.824313897857427,2.74,1.85
1622730786.713817,2.824313897857427,2.8168021104048564,2.74,1.85
1622730786.720804,2.8168021104048564,2.8099597513515397,2.74,1.85
