seq,secs,nsecs,x,y,z,w,av_x,av_y,av_z,la_x,la_y,la_z
3719,1608125961,983407979,0.000115140341222,0.000591669231653,-0.0976656600833,0.995219111443,2.1341464519500732,1.3414634466171265,1.2195122241973877,0.00537109375,-0.0009765625,-1.0166015625
3723,1608125962,379407979,0.000112689100206,0.000474869273603,-0.0975823551416,0.995227336884,2.1341464519500732,1.4634146690368652,1.2195122241973877,0.00439453125,0.00927734375,-1.00390625
3724,1608125962,483407979,0.000102217309177,0.000464653596282,-0.0976025760174,0.99522536993,2.0731706619262695,1.2804877758026123,1.2804877758026123,-0.0029296875,0.01025390625,-1.0048828125
3726,1608125962,671407979,0.000103835947812,0.000550000928342,-0.0976165384054,0.995223939419,2.195122003555298,1.3414634466171265,1.2804877758026123,-0.001953125,0.00390625,-1.0146484375
3727,1608125962,775407979,0.000120962038636,0.000640509650111,-0.097591727972,0.995226323605,2.2560975551605225,1.3414634466171265,1.2804877758026123,0.0009765625,0.00244140625,-1.01318359375
3729,1608125962,983407979,0.000128270126879,0.000649463385344,-0.0976268574595,0.995222866535,2.1341464519500732,1.3414634466171265,1.2195122241973877,0.00341796875,0.00341796875,-0.99755859375
3731,1608125963,171407979,0.000166754238307,0.000609359703958,-0.0976408347487,0.995221495628,2.0731706619262695,1.3414634466171265,1.2804877758026123,0.00244140625,0.0009765625,-0.99169921875
3773,1608125967,374584037,0.000103670172393,0.00094941444695,-0.0974544733763,0.995239496231,2.0731706619262695,1.3414634466171265,1.1585365533828735,0.00146484375,0.0,-1.001953125
3774,1608125967,458584037,0.00014961976558,0.000975349918008,-0.0974349379539,0.99524140358,2.1341464519500732,1.3414634466171265,1.2804877758026123,0.00634765625,0.00244140625,-1.0048828125
3775,1608125967,562584037,0.000137007795274,0.000973752699792,-0.0974392741919,0.995240986347,2.195122003555298,1.3414634466171265,1.2195122241973877,0.001953125,0.0048828125,-1.01220703125
3776,1608125967,666584037,0.000101737678051,0.000991332344711,-0.0974489450455,0.995240032673,2.195122003555298,1.402438998222351,1.2804877758026123,0.0,-0.0009765625,-0.998046875
3777,1608125967,770584037,0.000118152238429,0.000975983217359,-0.0974612236023,0.99523884058,2.1341464519500732,1.3414634466171265,1.2804877758026123,0.0107421875,-0.00439453125,-0.99462890625
3783,1608125968,374584037,-0.0001116450876,0.000863393768668,-0.0973470360041,0.995250105858,2.1341464519500732,1.2804877758026123,1.1585365533828735,-0.0029296875,-0.0009765625,-1.0078125
3786,1608125968,666584037,-0.000175228342414,0.000822897069156,-0.0973317921162,0.995251655579,2.0731706619262695,1.402438998222351,1.2195122241973877,-0.0009765625,0.01025390625,-1.00439453125
3787,1608125968,770584037,-0.000122161582112,0.000835932791233,-0.0973123088479,0.995253562927,2.1341464519500732,1.3414634466171265,1.2804877758026123,-0.00146484375,-0.00048828125,-1.0048828125
3794,1608125969,459486919,-0.000100878067315,0.000921066850424,-0.097215898335,0.995262861252,2.1341464519500732,1.3414634466171265,1.1585365533828735,-0.00146484375,-0.001953125,-1.01806640625
