seq,secs,nsecs,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,time
17342,1614000085,348346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000085.34835
17343,1614000085,408346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000085.40835
17344,1614000085,468346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000085.46835
17345,1614000085,528346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000085.52835
17346,1614000085,588346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000085.58835
17347,1614000085,648346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000085.64835
17348,1614000085,708346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000085.70835
17349,1614000085,768346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000085.76835
17350,1614000085,828346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000085.82835
17351,1614000085,888346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000085.88835
17352,1614000085,948346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000085.94835
17353,1614000086,8346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.00835
17354,1614000086,68346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.06835
17355,1614000086,128346929,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.12835
17356,1614000086,197515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.19752
17357,1614000086,257515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.25752
17358,1614000086,317515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.31752
17359,1614000086,377515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.37752
17360,1614000086,437515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.43752
17361,1614000086,497515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.49752
17362,1614000086,557515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.55752
17363,1614000086,617515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.61752
17364,1614000086,677515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.67752
17365,1614000086,737515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.73752
17366,1614000086,797515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.79752
17367,1614000086,857515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.85752
17368,1614000086,917515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.91752
17369,1614000086,977515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000086.97752
17370,1614000087,37515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.03752
17371,1614000087,97515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.09752
17372,1614000087,157515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.15752
17373,1614000087,217515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.21752
17374,1614000087,277515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.27752
17375,1614000087,337515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.33752
17376,1614000087,397515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.39752
17377,1614000087,457515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.45752
17378,1614000087,517515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.51752
17379,1614000087,577515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.57752
17380,1614000087,637515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.63752
17381,1614000087,697515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.69752
17382,1614000087,757515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.75752
17383,1614000087,817515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.81752
17384,1614000087,877515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.87752
17385,1614000087,937515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.93752
17386,1614000087,997515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000087.99752
17387,1614000088,57515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000088.05752
17388,1614000088,117515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000088.11752
17389,1614000088,177515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000088.17752
17390,1614000088,237515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000088.23752
17391,1614000088,297515068,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000088.29752
