seq,secs,nsecs,x,y,z,w,av_x,av_y,av_z,la_x,la_y,la_z,time
3400,1614178425,337765089,0.000458874739707,0.00175548810512,-0.135946750641,0.990714490414,2.195122003555298,1.3414634466171265,1.2195122241973877,0.00341796875,0.00341796875,-1.01513671875,1614178425.337765
3401,1614178425,421765089,0.000429887324572,0.00173722207546,-0.135948717594,0.990714251995,2.1341464519500732,1.4634146690368652,1.3414634466171265,0.001953125,-0.0009765625,-0.990234375,1614178425.421765
3402,1614178425,525765089,0.000394087284803,0.00176155287772,-0.135924398899,0.990717589855,2.1341464519500732,1.402438998222351,1.097561001777649,0.01513671875,0.01171875,-1.0048828125,1614178425.5257652
3403,1614178425,629765089,0.00035251211375,0.00181457027793,-0.135934233665,0.990716159344,2.0731706619262695,1.402438998222351,1.3414634466171265,-0.0107421875,0.00244140625,-0.99755859375,1614178425.629765
3404,1614178425,733765089,0.000394083559513,0.00176256801933,-0.135936185718,0.990715920925,2.195122003555298,1.402438998222351,1.2804877758026123,0.00244140625,0.00244140625,-1.03076171875,1614178425.7337651
3405,1614178425,837765089,0.000401578843594,0.00180207565427,-0.135924965143,0.990717411041,2.2560975551605225,1.402438998222351,1.2804877758026123,0.0,-0.00048828125,-0.99365234375,1614178425.837765
3406,1614178425,921765089,0.000411248765886,0.00179168395698,-0.135921567678,0.990717887878,2.012195110321045,1.3414634466171265,1.1585365533828735,-0.00390625,0.0068359375,-1.02099609375,1614178425.921765
3407,1614178426,25765089,0.000418753363192,0.00185130257159,-0.135939329863,0.990715324879,2.2560975551605225,1.4634146690368652,1.2195122241973877,0.00146484375,0.0048828125,-1.00341796875,1614178426.0257652
3408,1614178426,129765089,0.000403249636292,0.00185500271618,-0.135914936662,0.990718662739,2.1341464519500732,1.3414634466171265,1.2804877758026123,0.00146484375,0.01318359375,-1.00830078125,1614178426.129765
3409,1614178426,233765089,0.000385945662856,0.00188225880265,-0.135922163725,0.99071764946,2.2560975551605225,1.3414634466171265,1.1585365533828735,-0.00146484375,-0.0009765625,-0.982421875,1614178426.2337651
3410,1614178426,337765089,0.000451028347015,0.00180491805077,-0.135894984007,0.990721523762,2.012195110321045,1.3414634466171265,1.1585365533828735,-0.0068359375,0.0107421875,-0.9970703125,1614178426.337765
3411,1614178426,421765089,0.000428655184805,0.0017441092059,-0.135889023542,0.990722417831,2.317073106765747,1.402438998222351,1.1585365533828735,-0.0009765625,0.00537109375,-1.005859375,1614178426.421765
3412,1614178426,525765089,0.000348698347807,0.00166731979698,-0.135880425572,0.990723788738,2.0731706619262695,1.4634146690368652,1.2195122241973877,-0.00146484375,-0.0029296875,-1.00146484375,1614178426.5257652
3413,1614178426,629765089,0.00037725828588,0.00163360219449,-0.135911330581,0.990719556808,2.2560975551605225,1.402438998222351,1.2195122241973877,0.01171875,0.00341796875,-1.0166015625,1614178426.629765
3414,1614178426,729900075,0.000307372771204,0.00169969722629,-0.135945007205,0.990714907646,2.1341464519500732,1.402438998222351,1.3414634466171265,0.00146484375,0.00048828125,-1.0,1614178426.7299001
3415,1614178426,833900075,0.000311672687531,0.00167588703334,-0.135933786631,0.990716457367,2.1341464519500732,1.402438998222351,1.2804877758026123,0.005859375,0.00830078125,-1.0107421875,1614178426.8339
3416,1614178426,917900075,0.000286694616079,0.00169019494206,-0.135938420892,0.990715801716,2.195122003555298,1.402438998222351,1.3414634466171265,-0.00244140625,-0.00244140625,-0.978515625,1614178426.9179
3417,1614178427,21900075,0.000374723225832,0.00172300357372,-0.135953441262,0.990713655949,2.1341464519500732,1.4634146690368652,1.2804877758026123,-0.00048828125,0.00390625,-1.02099609375,1614178427.0219002
3418,1614178427,125900075,0.000307573005557,0.00174549035728,-0.135947614908,0.990714430809,2.195122003555298,1.402438998222351,1.3414634466171265,0.001953125,-0.001953125,-1.00439453125,1614178427.1259
3419,1614178427,229900075,0.000219506211579,0.00171132665128,-0.1359654814,0.990712046623,2.1341464519500732,1.5243902206420898,1.2804877758026123,0.001953125,0.0009765625,-1.00830078125,1614178427.2299001
3420,1614178427,313900075,0.000304604880512,0.00172700081021,-0.135975167155,0.990710675716,2.195122003555298,1.4634146690368652,1.2804877758026123,0.00634765625,0.0009765625,-0.9951171875,1614178427.3139
3421,1614178427,417900075,0.000316649675369,0.00177471805364,-0.135992869735,0.990708172321,1.9512195587158203,1.3414634466171265,1.2195122241973877,0.0087890625,0.01171875,-1.00634765625,1614178427.4179
3422,1614178427,521900075,0.000307003036141,0.00176974385977,-0.13599486649,0.990707933903,2.2560975551605225,1.3414634466171265,1.2804877758026123,-0.00537109375,0.00146484375,-0.99267578125,1614178427.5219002
3423,1614178427,625900075,0.000328475609422,0.00176278501749,-0.136004731059,0.990706562996,2.195122003555298,1.402438998222351,1.3414634466171265,0.00341796875,0.0068359375,-1.0048828125,1614178427.6259
