x,y,z,q
5801,4882,214,64
5797,4875,228,66
5798,4869,208,63
5791,4864,212,65
5789,4867,218,64
5798,4854,209,64
5799,4854,210,64
5801,4858,208,64
5803,4854,205,64
5804,4865,210,64
5798,4859,206,64
5795,4865,215,65
5799,4855,212,65
5794,4866,217,64
5801,4855,199,63
5797,4878,198,62
5805,4864,213,66
5805,4861,205,64
5809,4858,206,64
5812,4872,204,63
5804,4865,203,64
5804,4865,194,63
5811,4853,199,65
5804,4849,209,65
5796,4855,221,65
5809,4870,210,62
5798,4860,208,65
5795,4853,209,65
5794,4844,197,64
5788,4847,201,64
5800,4847,182,62
5794,4835,191,65
5797,4828,191,64
5786,4834,218,66
5795,4810,232,72
5797,4837,230,63
5795,4849,228,64
5794,4875,221,62
5791,4866,209,64
5786,4848,203,64
5786,4845,213,65
5795,4843,219,65
5794,4833,225,66
5801,4853,226,64
5806,4857,216,63
5807,4878,218,63
5799,4861,210,64
5804,4861,216,65
5792,4857,228,66
5795,4860,223,64
5804,4868,219,63
5802,4866,193,62
5797,4880,190,62
5791,4870,205,66
5782,4861,207,65
5786,4889,199,61
5785,4883,205,64
5794,4877,212,65
5803,4882,195,62
5812,4874,194,64
5806,4881,189,63
5800,4879,195,64
5805,4876,204,65
5796,4876,207,64
5791,4867,215,65
5771,4872,266,69
5780,4875,238,62
5782,4875,235,64
5795,4878,226,63
5799,4876,219,64
5804,4906,201,60
5806,4903,198,63
5800,4876,213,64
5799,4864,197,63
5804,4879,208,64
5800,4874,202,64
5801,4856,200,64
5795,4858,203,64
5794,4857,209,65
5799,4866,210,64
5804,4876,203,63
5806,4873,202,64
5809,4872,202,64
5812,4864,210,65
5815,4879,205,63
5812,4863,201,64
5815,4871,185,62
5812,4874,191,64
5811,4865,204,65
5810,4873,196,63
5806,4865,193,64
5802,4862,200,65
5807,4871,188,62
5808,4884,199,64
5805,4881,221,66
5806,4883,218,64
5801,4867,229,66
5801,4874,231,64
5810,4873,212,63
5813,4878,213,64
5816,4893,206,62
5814,4891,210,64
5814,4888,210,64
5807,4867,202,64
5805,4856,201,65
5812,4860,198,63
5796,4860,202,64
5795,4860,214,65
5793,4873,215,63
5791,4874,212,64
5797,4868,204,64
5802,4873,184,61
5800,4874,187,64
5809,4875,181,63
5803,4863,204,66
5796,4869,212,64
5802,4873,193,62
5809,4874,188,63
5793,4882,226,66
5795,4872,213,64
5797,4870,213,64
5792,4873,217,64
5788,4864,224,65
5791,4885,213,62
5792,4886,216,64
5803,4880,214,64
5810,4876,196,62
5804,4861,197,65
5798,4858,206,65
5798,4851,209,65
5802,4857,220,65
5802,4858,222,65
5800,4864,222,64
5796,4857,214,64
5783,4855,216,65
5794,4858,199,63
5784,4855,227,67
5787,4850,229,65
5782,4837,215,64
5783,4833,214,65
5790,4855,211,63
5796,4863,205,63
5801,4863,183,62
5792,4852,187,65
5798,4857,193,64
5788,4841,214,67
5794,4849,209,64
