time,la_x,la_y,uwb_x,uwb_y,vel_linear_x,vel_angular_z,mpu_ang_vel_z,mpu_linear_acc_x,mpu_linear_acc_y,odom_linear_x,odom_angular_z,cmd_linear_x,cmd_linear_y,odom_yaw,cmd_angular_z,var_x,var_y,var_xvel,var_yvel,vel_linear_y,odom_linear_y
1626109261.436471,1.3277909230524839e-10,3.36224786786947e-07,0.0,0.0,,,,,,-1.2914821339192863e-10,0.0017850956311492646,,,-1.9594942006136475,,0.002811568917532098,0.002811568917530642,0.06331023993086166,0.06331023993156709,,1.4868362748527288e-06
1626109261.496471,1.2886248827716674e-10,2.978613242489622e-07,0.0,0.0,2.488219706719974e-06,-2.3146230887505226e-05,1.3414634466171265,0.0048828125,0.0078125,-1.2231082499894523e-10,0.0016716562847596244,,,-1.9594985759438648,,0.0028115460717459944,0.0028115460717447367,0.06331486418204386,0.06331486418265013,0.0,1.4026528400228324e-06
1626109261.498471,1.2218909740094389e-10,2.9786132423887815e-07,5.72,4.87,2.458059498167131e-06,-2.2865669961902313e-05,1.3414634466171265,-0.0087890625,0.00439453125,-1.2244939531557739e-10,0.0017767483347250375,,,-1.9594916832785705,,0.002924277403253201,0.002924277403251847,0.0634598490782424,0.0634598490788485,0.0,1.4032485904776891e-06
1626109261.5824711,1.1541345757774315e-10,2.616603602710122e-07,5.72,4.87,2.473047516104998e-06,-2.30050936806947e-05,1.3414634466171265,-0.0087890625,0.00439453125,-1.1372615093402255e-10,0.001958920988381148,,,-1.9594400069936528,,0.004317467970799365,0.004317467970796974,0.06522429448082308,0.0652242944813396,0.0,1.328887812877736e-06
1626109261.616471,1.1331894184652955e-10,2.2752816701241639e-07,5.75,4.86,2.488219706719974e-06,-2.3146230887505226e-05,1.3414634466171265,-0.0087890625,0.00439453125,-1.1105491334412796e-10,0.0018876632761497556,,,-1.9594906860050856,,0.0028115080409849974,0.0028115080409840667,0.06330761601013452,0.0633076160105771,0.0,1.2447302034404098e-06
1626109261.686471,1.0497971515090242e-10,1.9538014809649127e-07,5.75,4.86,2.488219706719974e-06,-2.3146230887505226e-05,1.3414634466171265,-0.009765625,0.0078125,-1.0536447453117166e-10,0.002141712493234722,,,-1.959461956008371,,0.0033803655690501384,0.003380365569049021,0.06403842055193101,0.06403842055230564,0.0,1.1728750321524182e-06
1626109261.736471,1.049020765649158e-10,1.6512907439071965e-07,5.77,4.87,2.488219706719974e-06,-2.3146230887505226e-05,1.3414634466171265,-0.009765625,0.0078125,-1.0145439257224926e-10,0.0020289627765120574,,,-1.9594839572856748,,0.00281152936422685,0.0028115293642261723,0.06330740843075919,0.06330740843107688,0.0,1.1002718576043652e-06
1626109261.796471,1.011494233448557e-10,1.3669181649495194e-07,5.77,4.87,2.458059498167131e-06,-2.2865669961902313e-05,1.3414634466171265,-0.00927734375,0.0068359375,-9.630491905873312e-11,0.0019000808650865453,,,-1.9594880899042382,,0.002811467735824412,0.0028114677358238374,0.06331570257939322,0.06331570257966049,0.0,1.0328530412307524e-06
1626109261.894471,9.162392531683858e-11,1.0998668694412104e-07,5.74,4.87,2.473047516104998e-06,-2.30050936806947e-05,1.2804877758026123,-0.01123046875,0.00732421875,-8.863957009949747e-11,0.0020801205938000256,,,-1.9594023068601907,,0.005042443718017386,0.005042443718015993,0.06611986633020088,0.06611986633041989,0.0,9.7265340724944e-07
1626109261.916471,8.827361298210955e-11,8.493545675621958e-08,5.73,4.88,2.488219706719974e-06,-2.3146230887505226e-05,1.2804877758026123,-0.01123046875,0.00732421875,-8.775451517246516e-11,0.002028990115703327,,,-1.9594827779020574,,0.002811400891019703,0.002811400891019295,0.06331598875790262,0.06331598875808878,0.0,9.067961344850668e-07
