x,y,z,q
4484,2489,264,81
4483,2501,274,82
4486,2505,279,81
4490,2514,286,82
4488,2523,309,83
4494,2511,270,79
4492,2516,268,81
4495,2511,272,81
4493,2506,263,80
4499,2494,241,79
4486,2485,238,80
4482,2477,235,80
4480,2493,266,81
4488,2501,214,76
4481,2508,244,82
4472,2509,270,82
4465,2513,291,83
4468,2506,301,82
4461,2507,312,82
4470,2502,302,81
4467,2487,263,78
4472,2489,251,80
4481,2498,239,79
4485,2511,266,82
4486,2500,246,79
4487,2489,236,79
4477,2490,267,83
4485,2493,271,81
4484,2501,282,82
4488,2495,264,79
4480,2500,264,81
4469,2498,279,82
4475,2500,268,80
4486,2507,265,80
4489,2499,242,79
4493,2491,240,80
4485,2489,259,82
4483,2492,206,76
4481,2480,199,79
4485,2487,208,80
4483,2472,220,80
4492,2479,242,81
4476,2488,262,82
4463,2499,297,84
4471,2486,287,80
4476,2502,302,82
4482,2496,284,80
4470,2499,292,82
4470,2490,257,78
4477,2507,271,82
4470,2488,275,81
4469,2493,261,80
4485,2492,255,80
4484,2475,237,79
4475,2479,266,82
4464,2495,291,83
4476,2498,287,81
4487,2505,293,82
4487,2493,258,78
4483,2485,271,81
4470,2497,285,82
4465,2494,300,82
4474,2489,278,79
4481,2491,260,79
4474,2492,283,82
4473,2508,298,82
4474,2489,290,80
4474,2492,269,79
4481,2483,255,79
4472,2493,268,82
4468,2485,257,80
4489,2503,274,82
4475,2511,298,83
4475,2511,305,82
4482,2501,278,79
4474,2507,294,82
4475,2501,280,80
4479,2506,291,82
4482,2500,293,81
4471,2492,304,82
4473,2478,282,79
4481,2483,274,80
4470,2489,281,81
4478,2494,269,80
4481,2489,257,80
4484,2501,244,79
4481,2491,215,78
4487,2499,227,81
4483,2502,248,82
4487,2498,251,80
4497,2474,271,81
4500,2473,267,80
4495,2484,277,82
4494,2493,287,82
4481,2504,312,83
4474,2504,312,82
4473,2497,297,80
4462,2498,322,83
4467,2507,336,83
4463,2509,334,82
4468,2515,333,82
4461,2512,319,81
4462,2516,313,81
4470,2509,298,80
4466,2486,286,80
4477,2493,279,80
4469,2488,290,82
4481,2489,271,80
4476,2491,274,81
4470,2492,273,81
4470,2491,275,81
4470,2479,260,79
4476,2483,257,80
