x,y,z,q
5673,4218,300,60
5675,4224,310,61
5679,4228,302,59
5674,4235,300,60
5682,4219,307,59
5684,4220,314,60
5680,4224,309,60
5681,4220,287,57
5669,4209,293,59
5669,4201,306,60
5672,4206,299,59
5688,4220,283,58
5687,4228,275,59
5693,4235,274,59
5686,4231,277,59
5685,4225,290,60
5687,4221,281,58
5677,4225,309,62
5676,4229,284,58
5680,4232,292,60
5692,4234,275,58
5675,4224,286,60
5679,4226,266,57
5676,4219,258,58
5686,4227,260,59
5688,4234,269,60
5688,4237,258,58
5691,4229,261,58
5685,4235,274,61
5690,4233,273,59
5675,4240,304,63
5672,4242,302,60
5678,4250,297,60
5674,4242,290,59
5677,4242,295,60
5675,4246,286,59
5672,4249,301,61
5673,4229,316,60
5673,4236,307,60
5678,4243,294,59
5684,4253,305,61
5681,4248,321,62
5673,4242,335,62
5671,4253,333,61
5666,4252,344,62
5673,4252,325,59
5671,4240,318,59
5679,4239,302,58
5678,4229,324,61
5677,4229,339,62
5676,4238,328,60
5676,4238,341,62
5668,4236,326,60
5670,4233,339,61
5675,4238,328,60
5670,4238,325,60
5681,4231,336,61
5675,4227,316,59
5680,4228,304,59
5681,4237,299,60
5678,4229,300,59
5674,4236,289,59
5675,4232,298,60
5672,4241,315,62
5671,4233,301,58
5678,4242,290,59
5680,4236,285,59
5675,4235,292,60
5679,4249,279,59
5674,4253,281,60
5679,4233,278,58
5672,4240,272,59
5676,4242,278,60
5673,4239,295,61
5679,4241,304,61
5679,4235,310,60
5674,4233,306,60
5673,4232,300,59
5666,4226,319,61
5671,4242,310,60
5670,4243,287,58
5666,4233,301,60
5665,4232,325,62
5666,4244,311,60
5677,4245,284,57
5669,4248,294,61
5670,4237,309,61
5674,4232,308,60
5671,4229,328,62
5674,4226,313,59
5669,4227,327,62
5674,4229,302,58
5669,4235,312,61
5680,4233,291,58
5687,4231,301,60
5679,4224,306,60
5671,4225,325,62
5670,4233,306,59
5678,4234,304,60
5676,4225,320,61
5688,4232,310,59
5672,4237,334,63
5671,4237,307,58
5675,4241,301,60
5677,4243,304,60
5675,4247,285,59
5670,4246,289,60
5680,4249,282,59
5679,4253,290,61
5684,4256,266,58
5696,4257,260,58
5688,4256,284,62
5685,4240,304,61
5685,4227,306,59
5687,4219,289,57
5686,4204,322,79
5675,4201,337,61
