time,imu/ax,imu/ay,imu/awz,encoder/vx,encoder/vy,encoder/wz,uwb/x,uwb/y,accel/ax,accel/ay,accel/awz,accel/var_ax,accel/var_ay,accel/var_awz,odom/vx,odom/vy,odom/wz,odom/var_vx,odom/var_vy,odom/var_wz,cmd/vx,cmd/vy,cmd/wz
1626279095949555874,-0.005859375,0.009765625,1.34146344662,2.41396787715e-06,0.0,2.24555151362e-05,5.65,4.88,-2.50472150908e-10,2.20549935853e-06,0.0,0.0271601996859,0.0271601996861,0.0,2.23365413007e-10,-9.74831774643e-07,0.00176581781047,0.0632947377497,0.0632947377503,0.00436974118563,,,
1626279096009556055,,,,2.53466646427e-06,0.0,2.35782918026e-05,,,-2.19213647817e-10,2.23187575424e-06,0.0,0.0271627808041,0.0271627808044,0.0,2.03215825783e-10,-7.70652749558e-07,0.00198753110316,0.0633050956525,0.0633050956529,0.00375519603925,,,
1626279096069555998,-0.01171875,0.00732421875,1.2804877758,,,,5.64,4.89,-2.06250488716e-10,2.25314674759e-06,0.0,0.0271627326994,0.0271627326997,0.0,1.8286451904e-10,-5.78896999372e-07,0.0018621832112,0.0633121440631,0.0633121440634,0.00494508026044,,,
1626279096129555941,,,,2.41396787715e-06,0.0,2.24555151362e-05,,,-1.82419256681e-10,2.26949489943e-06,0.0,0.027162453973,0.0271624539733,0.0,1.65060484873e-10,-3.99152148535e-07,0.00197056442991,0.0632976181105,0.0632976181108,0.00417883163474,,,
1626279096189555883,-0.009765625,0.013671875,1.2804877758,2.53466646427e-06,0.0,2.35782918026e-05,5.65,4.88,-1.68000541461e-10,2.28120327869e-06,0.0,0.0271622815026,0.0271622815029,0.0,1.47225956455e-10,-2.31137557484e-07,0.0018455184536,0.063302138299,0.0633021382992,0.00536625997547,,,
1626279096195555925,,,,2.53466646427e-06,0.0,2.35782918026e-05,,,-1.47086625037e-10,2.28120327871e-06,0.0,0.0272222819222,0.0272222819225,0.0,1.46799321295e-10,-2.17450242007e-07,0.00201160974018,0.0637377435568,0.063737743557,0.00346707591239,,,
1626279096279556036,-0.00439453125,0.0166015625,1.40243899822,2.41396787715e-06,0.0,2.24555151362e-05,5.65,4.89,-1.30748563772e-10,2.28856510277e-06,0.0,0.0274622046933,0.0274622046937,0.0,1.27630019929e-10,-5.57905312108e-09,0.00215705474998,0.0655021746462,0.0655021746463,0.00308971153348,,,
1626279096309556007,,,,2.53466646427e-06,0.0,2.35782918026e-05,,,-1.30500299475e-10,2.29186402148e-06,0.0,0.0271621495449,0.0271621495453,0.0,1.16008557018e-10,7.20723179537e-08,0.00208725772305,0.0632882536951,0.0632882536952,0.00368395043711,,,
1626279096369555950,-0.01953125,0.0146484375,1.34146344662,,,,5.66,4.9,-1.18944143988e-10,2.29137136147e-06,0.0,0.0271621049808,0.0271621049812,0.0,1.010842686e-10,2.08243964834e-07,0.00195570673759,0.0632930923199,0.06329309232,0.00487424079134,,,
1626279096429555893,,,,2.41396787715e-06,0.0,2.24555151362e-05,,,-1.02695751052e-10,2.28734683807e-06,0.0,0.0271620607786,0.027162060779,0.0,8.72167139857e-11,3.34765349018e-07,0.00190316121941,0.0632867110312,0.0632867110313,0.00424402649676,,,
