x,y,z,q
3714,11858,4294966998,67
3593,11910,1007,51
3633,11941,674,68
3652,11960,400,66
3662,11981,197,66
3685,11993,42,67
3681,12008,4294967219,66
3697,12021,4294967140,67
3694,12039,4294967083,67
3713,12045,4294967072,69
3704,12045,4294967011,65
3707,12045,4294966990,67
3715,12046,4294966992,68
3721,12044,4294967005,69
3712,12044,4294967000,68
3712,12045,4294966969,66
3564,12048,1000,48
3598,12061,652,67
3644,12055,424,69
3667,12055,231,68
3705,12059,111,70
3709,12066,4294967270,67
3575,12058,1198,51
3614,12063,800,67
3640,12055,472,65
3695,12054,320,70
3732,12061,188,70
3589,12054,1379,49
3657,12058,956,69
3686,12062,617,67
3546,12052,1726,47
3451,12045,2547,48
3520,12037,1778,65
3432,12023,2573,49
3516,12017,1813,66
3424,12005,2598,48
3504,12017,1869,68
3567,12023,1323,68
3605,12031,900,67
3632,12029,574,66
3648,12023,313,65
3673,12026,131,67
3680,12021,4294967283,65
3688,12022,4294967164,65
3722,12028,4294967114,69
3596,12029,1092,50
3645,12022,738,68
3673,12017,451,66
3708,12022,246,68
3744,12024,122,70
3755,12023,4294967290,67
3764,12031,4294967194,68
3616,12034,1159,49
3674,12035,786,69
3692,12035,467,66
3718,12036,245,67
3746,12038,110,69
3748,12028,4294967265,66
3759,12017,4294967178,67
3739,11997,4294967079,64
3735,12006,4294967000,65
3601,12002,1016,49
3623,12001,634,64
3654,12014,365,66
3558,12004,1495,51
3607,12019,1011,67
3633,12018,637,65
3658,12016,355,65
3541,12018,1494,50
3585,12026,990,65
3631,12022,641,67
3670,12028,387,68
3560,12029,1524,50
3613,12025,1049,67
3648,12023,665,65
3667,12017,397,66
3699,12017,193,67
3712,12023,52,67
3716,12020,4294967213,65
3725,12038,4294967117,66
3712,12032,4294967045,65
3580,12032,1042,50
3625,12022,685,67
3517,12004,1724,51
3434,12005,2530,49
3519,12018,1809,68
3586,12017,1262,67
3629,12017,857,67
3649,12015,548,67
3668,12009,297,65
3702,12008,153,69
3721,12002,55,69
3735,12003,4294967268,68
3749,12025,4294967234,70
3763,12040,4294967189,70
3780,12050,4294967168,70
3828,12051,4294967204,70
3847,12063,4294967254,70
3874,12067,4294967265,70
3845,12066,4294967208,69
3843,12065,4294967242,70
3843,12069,4294967254,70
3845,12061,4294967216,70
3844,12035,4294967141,67
3830,12025,4294967069,66
3836,12012,4294967035,68
3823,12002,4294967002,67
3825,12007,4294966990,68
3821,12004,4294966962,67
3811,12009,4294966906,65
3812,12015,4294966907,68
3818,12021,4294966931,69
3803,12034,4294966974,70
3797,12037,4294966965,68
3808,12030,4294966977,69
3793,12018,4294966953,66
3797,12009,4294966956,68
3787,11997,4294966936,66
3788,12013,4294967013,70
