x,y,z,q
4563,2924,393,83
4558,2925,388,82
4560,2942,361,80
4568,2949,352,81
4571,2949,339,80
4571,2943,355,83
4571,2951,343,80
4560,2950,335,81
4564,2956,341,81
4576,2929,366,84
4584,2925,343,80
4581,2926,341,81
4580,2920,361,83
4573,2915,355,81
4567,2929,358,82
4574,2931,351,81
4569,2928,367,83
4574,2932,366,82
4581,2944,302,76
4584,2925,311,82
4583,2917,333,83
4575,2916,358,83
4574,2907,374,83
4557,2905,377,83
4559,2921,367,81
4564,2924,344,80
4572,2922,346,82
4574,2919,343,81
4578,2918,357,82
4591,2928,337,80
4589,2931,327,80
4583,2930,356,83
4585,2934,333,80
4579,2952,311,79
4580,2955,323,81
4581,2953,332,82
4584,2950,330,81
4578,2942,327,81
4567,2936,345,83
4565,2941,342,81
4573,2936,361,83
4584,2948,348,80
4583,2942,355,82
4578,2927,305,78
4573,2924,325,82
4576,2925,316,80
4571,2926,320,81
4561,2912,354,84
4556,2901,357,82
4549,2901,380,84
4554,2913,342,79
4548,2906,347,82
4548,2914,341,81
4552,2916,314,79
4545,2919,326,82
4549,2926,319,80
4557,2926,354,84
4562,2920,366,83
4557,2938,353,81
4561,2934,348,81
4563,2938,353,82
4569,2934,350,81
4570,2940,345,81
4575,2939,341,81
4568,2935,349,82
4555,2926,338,81
4570,2926,338,81
4565,2922,363,83
4574,2924,353,81
4581,2931,351,81
4583,2930,333,80
4583,2921,330,81
4583,2928,324,81
4585,2936,315,80
4591,2950,309,80
4583,2951,298,80
4590,2946,291,80
4593,2957,285,79
4588,2954,281,80
4590,2937,280,80
4588,2940,294,81
4600,2934,270,80
4586,2940,270,80
4589,2923,301,83
4582,2930,315,82
4578,2938,315,81
4582,2932,317,81
4566,2933,344,82
4561,2934,337,81
4568,2958,320,79
4558,2954,309,80
4559,2956,307,80
4561,2965,313,81
4552,2954,331,82
4555,2941,344,82
4565,2950,331,80
4568,2930,342,82
4564,2915,379,84
4568,2927,372,81
4573,2938,320,77
4580,2937,313,80
4583,2926,324,82
4581,2929,311,80
4587,2929,307,80
4580,2927,311,81
4578,2923,326,82
4589,2920,320,81
4573,2911,347,83
4567,2896,404,86
4571,2917,377,80
4577,2924,375,82
4598,2929,305,77
4598,2933,311,81
4583,2929,305,80
4585,2938,311,81
4577,2939,295,79
4579,2936,312,82
4567,2943,301,80
4559,2935,337,83
4559,2923,364,84
4563,2931,371,82
4569,2926,354,81
4576,2930,355,81
4567,2919,365,83
4572,2930,324,78
4572,2934,328,81
4568,2940,325,81
4567,2937,353,83
4564,2942,326,79
