x,y,z,q
4049,1411,846,69
4053,1437,869,69
4063,1441,896,69
4064,1470,948,69
4064,1510,952,69
4057,1522,948,69
4056,1530,918,69
4059,1405,852,70
4048,1430,806,69
4041,1459,815,69
4041,1330,698,71
4054,1380,800,69
4059,1403,852,69
4058,1450,895,69
4069,1335,825,70
4066,1371,862,69
4049,1418,844,69
4035,1303,735,71
4046,1388,882,69
4060,1366,860,70
4062,1406,882,69
4065,1438,945,69
4058,1474,920,69
4050,1479,853,69
4050,1356,733,70
4057,1396,764,69
4048,1446,792,69
4034,1460,797,69
4033,1474,805,69
4045,1486,862,69
4045,1497,882,69
4063,1159,722,87
4060,1251,763,69
4051,1264,720,70
4058,1336,843,69
4054,1388,957,69
4045,1135,725,68
4045,1240,767,69
4049,1328,840,69
4043,1384,1017,69
4051,1417,974,69
4053,1441,1066,69
4053,1455,991,69
4067,1461,987,69
4065,1487,970,69
4079,1446,960,69
4077,1470,975,69
4073,1490,990,69
4065,1503,958,69
4053,1354,801,71
4067,1270,719,70
4046,1339,777,69
4047,1406,871,69
4042,1284,717,71
4045,1346,781,69
4039,1364,782,70
4040,1256,680,71
4042,1199,597,70
4049,1272,657,69
4051,1358,786,69
4058,1230,687,71
4044,1309,772,69
4052,1317,824,69
4054,1380,872,69
4045,1396,838,69
4040,1405,785,70
4039,1428,782,69
4035,1400,794,70
4039,1440,866,69
4044,1455,848,69
4058,1469,912,69
4051,1482,882,69
4047,1496,921,69
4057,1529,982,69
4055,1524,983,69
4051,1521,1004,69
4052,1526,976,69
4056,1389,842,70
4048,1413,874,69
4038,1454,923,69
4048,1482,978,69
4040,1485,952,69
4045,1376,796,70
4040,1327,752,70
4035,1380,768,69
4042,1270,678,70
4041,1341,728,69
4044,1384,803,69
4056,1444,962,69
4054,1443,889,69
4050,1320,733,71
4050,1374,808,69
4050,1347,787,70
4045,1395,776,69
4046,1453,814,69
4054,1494,897,69
4049,1473,862,70
4050,1486,899,69
4055,1502,958,69
4050,1534,948,69
4042,1536,925,69
4043,1526,900,69
4044,1393,757,70
4048,1422,822,69
4048,1433,823,69
4053,1326,716,70
4052,1416,798,69
4052,1450,821,69
4043,1329,677,71
4049,1352,721,69
4045,1419,806,69
4046,1465,835,69
4054,1016,663,57
4048,1154,762,69
4043,1219,739,70
4045,1297,834,69
4048,1349,871,69
4036,1245,711,71
4043,1280,710,69
4041,1214,634,70
4036,1299,643,69
4039,1353,695,69
4043,1392,763,69
4044,1287,679,70
4033,1229,588,70
4046,1175,560,70
4047,1245,601,69
4044,1153,509,71
4049,1246,639,69
4063,1304,827,69
4058,1369,811,69
4057,1256,727,71
4054,1331,799,69
4043,1349,792,70
4043,1394,793,69
4039,1298,691,70
4055,1209,628,70
4051,1147,534,71
4051,1084,473,71
4045,1186,572,69
4051,1274,722,69
4049,1342,774,69
4047,1374,789,69
4046,1426,861,69
4045,1376,802,70
4031,1286,674,71
