time,imu/ax,imu/ay,imu/awz,encoder/vx,encoder/vy,encoder/wz,uwb/x,uwb/y,accel/ax,accel/ay,accel/awz,accel/var_ax,accel/var_ay,accel/var_awz,odom/vx,odom/vy,odom/wz,odom/var_vx,odom/var_vy,odom/var_wz,cmd/vx,cmd/vy,cmd/wz
1626279207143002987,,,,,,,,,-1.56539478656e-12,-5.86783244549e-09,0.0,0.0271544021027,0.0271544021027,0.0,1.4806697382e-12,-1.57472617222e-08,0.00170217344141,0.0633085546112,0.0633085546112,0.00440574934317,,,
1626279207203003168,,,,2.16565263145e-06,0.0,2.01456059585e-05,,,-1.41705343208e-12,-5.46292397448e-09,0.0,0.0271544623766,0.0271544623766,0.0,1.40888475345e-12,-1.49967588763e-08,0.00198835433379,0.0633040222533,0.0633040222533,0.00362897862071,,,
1626279207263003111,-0.00927734375,0.01025390625,1.2804877758,2.16565263145e-06,0.0,2.01456059585e-05,5.61,4.87,-1.40766964972e-12,-5.07722877528e-09,0.0,0.0271545278487,0.0271545278487,0.0,1.32905799151e-12,-1.42757823735e-08,0.00186317471741,0.0633122845391,0.0633122845391,0.00481945358531,,,
1626279207323003054,,,,2.06252639146e-06,0.0,1.9186290956e-05,,,-1.28503063926e-12,-4.71002125015e-09,0.0,0.0271546068008,0.0271546068008,0.0,1.26742540467e-12,-1.35793903861e-08,0.00191709561723,0.0632980020137,0.0632980020137,0.00398524584017,,,
1626279207383002996,-0.00927734375,0.00732421875,1.2804877758,,,,5.6,4.87,-1.26475918016e-12,-4.36063790897e-09,0.0,0.0271546897775,0.0271546897775,0.0,1.19990529655e-12,-1.29115756711e-08,0.00179571692739,0.0633027351611,0.0633027351611,0.00517368875017,,,
1626279207443003178,-0.009765625,0.00244140625,1.34146344662,2.2796346002e-06,0.0,2.12059021578e-05,,,-1.17822151956e-12,-4.02838832873e-09,0.0,0.0271547867989,0.0271547867989,0.0,1.14112256168e-12,-1.22678143999e-08,0.00178341419842,0.0632919090985,0.0632919090985,0.00431781978608,,,
1626279207485002995,,,,2.06252639146e-06,0.0,1.9186290956e-05,5.61,4.87,-1.13843422077e-12,-4.02838832849e-09,0.0,0.0275747849678,0.0275747849678,0.0,1.10183100589e-12,-1.24370059713e-08,0.00206943718934,0.066382137309,0.066382137309,0.00309666257466,,,
1626279207503003120,-0.0205078125,0.0087890625,1.46341466904,2.16565263145e-06,0.0,2.01456059585e-05,,,-1.09655162502e-12,-3.71262947674e-09,0.0,0.0271548845269,0.0271548845269,0.0,1.09735357757e-12,-1.16484815517e-08,0.00202753547197,0.0632752115411,0.0632752115411,0.00345142744568,,,
1626279207589003086,,,,2.16565263145e-06,0.0,2.01456059585e-05,5.59,4.87,-1.04246399646e-12,-3.41273379274e-09,0.0,0.0274149851218,0.0274149851218,0.0,1.01711278299e-12,-1.11442295773e-08,0.00190771782509,0.0651823599205,0.0651823599205,0.00333503367981,,,
1626279207623003006,,,,2.06252639146e-06,0.0,1.9186290956e-05,,,-1.01302336653e-12,-3.12805196487e-09,0.0,0.0271550731434,0.0271550731434,0.0,9.94508393931e-13,-1.04843134084e-08,0.00183783120655,0.0632678935262,0.0632678935262,0.00400817321147,,,
