x,y,z,q
5695,3785,4294967292,58
5695,3788,4294967287,57
5701,3795,4294967285,57
5708,3783,4294967277,57
5700,3786,4294967271,57
5708,3781,4294967259,56
5709,3782,4294967267,58
5713,3784,4294967272,57
5708,3782,4294967273,58
5701,3783,4294967279,58
5697,3790,4294967289,58
5690,3779,17,60
5689,3783,7,58
5693,3785,7,58
5687,3782,4294967292,58
5696,3787,4294967278,56
5699,3799,4294967274,56
5698,3794,4294967266,57
5693,3794,4294967287,59
5695,3786,4294967295,59
5692,3792,4294967289,57
5698,3790,4294967278,57
5701,3797,4294967273,57
5698,3787,4294967280,58
5702,3792,4294967274,57
5708,3793,4294967266,56
5718,3785,4294967278,58
5711,3786,4294967284,57
5708,3780,4294967295,59
5705,3772,26,60
5707,3772,4294967289,56
5713,3778,4294967273,56
5719,3770,4294967274,58
5723,3793,4294967272,56
5709,3792,4294967289,59
5704,3789,4294967292,58
5699,3788,4294967294,58
5696,3781,5,59
5704,3778,4294967289,57
5708,3784,4294967283,57
5706,3789,4294967290,58
5708,3790,4294967283,57
5708,3796,4294967271,56
5709,3792,4294967271,57
5717,3794,4294967255,56
5719,3797,4294967255,57
5708,3799,4294967275,59
5712,3797,4294967263,56
5697,3800,4294967290,59
5701,3799,4294967285,57
5702,3800,4294967292,58
5711,3796,4294967282,57
5701,3780,0,60
5707,3775,4294967293,58
5711,3790,4294967283,56
5710,3787,4294967295,59
5701,3783,2,59
5700,3775,4294967292,58
5705,3778,4294967277,56
5703,3775,4294967288,59
5710,3775,4294967281,57
5702,3781,4294967280,58
5705,3791,4294967280,57
5705,3802,4294967266,56
5707,3795,4294967261,57
5714,3799,4294967259,56
5707,3812,4294967263,57
5706,3807,4294967271,58
5719,3800,4294967257,56
5708,3794,4294967261,58
5711,3783,4294967265,58
5706,3794,4294967267,57
5706,3800,4294967267,57
5703,3789,4294967291,60
5710,3791,4294967285,57
5703,3788,4294967290,58
5692,3789,4,59
5698,3781,0,58
5690,3763,24,61
5695,3774,6,57
5700,3780,0,57
5701,3777,1,58
5698,3772,4294967294,58
5701,3775,4294967291,57
5712,3780,4294967277,56
5707,3777,4294967276,58
5702,3781,4294967290,59
5706,3787,4294967282,57
5716,3791,4294967274,56
5715,3797,4294967275,57
5702,3801,4294967286,58
5696,3797,0,59
5695,3790,6,59
5696,3787,1,58
5705,3793,4294967282,56
5702,3801,4294967282,57
5698,3803,4294967283,58
5698,3796,4294967290,58
5701,3794,4294967289,58
5703,3784,0,58
5699,3796,4294967294,57
5698,3805,4294967283,56
5702,3801,4294967280,57
5701,3789,4294967286,59
5708,3788,4294967277,57
5700,3780,4294967264,57
5696,3778,4294967271,58
5693,3770,4294967278,59
5704,3760,4294967283,58
5691,3753,4294967288,59
5687,3738,3,60
5694,3754,6,58
5702,3761,4294967281,56
5695,3776,4294967289,58
5703,3785,4294967289,57
5704,3780,4294967288,58
5706,3788,4294967278,56
5697,3792,4294967286,58
5703,3796,4294967276,56
5702,3793,4294967281,58
5699,3791,4294967282,58
5700,3792,4294967286,58
5697,3783,4294967276,57
5706,3780,4294967269,57
5704,3784,4294967266,57
5702,3787,4294967262,57
5710,3781,4294967273,58
5704,3783,4294967285,58
5707,3790,4294967264,56
5711,3792,4294967267,57
5691,3784,0,60
