x,y,z,q
5045,3564,368,76
5011,3571,427,78
5002,3564,422,75
4999,3567,457,77
5048,3549,347,67
5030,3571,389,76
5116,3564,230,59
5169,3562,107,59
5178,3570,86,65
5219,3565,6,60
5153,3569,131,76
5166,3569,94,65
5126,3571,186,75
5149,3574,143,65
5101,3574,260,78
5063,3562,336,78
5141,3560,201,60
5086,3569,320,79
5124,3574,227,64
5185,3571,100,58
5190,3569,71,65
5231,3566,4294967288,59
5164,3569,160,79
5123,3580,230,74
5088,3575,284,75
5153,3562,136,58
5095,3573,261,78
5075,3568,298,75
5046,3570,362,77
5087,3566,275,66
5051,3568,352,78
5037,3558,402,77
5028,3561,417,75
5109,3559,238,58
5076,3564,306,76
5054,3568,353,76
5043,3565,392,76
5128,3557,227,59
5092,3559,276,75
5063,3557,326,76
5131,3559,177,59
5098,3561,224,74
5056,3564,319,78
5039,3560,340,75
5026,3570,356,74
5023,3551,381,76
5070,3530,292,67
5043,3541,378,78
5025,3547,413,76
5021,3549,437,76
5016,3542,456,77
5003,3528,485,78
5047,3526,382,67
5029,3545,422,76
5018,3542,422,75
5099,3531,259,60
5047,3542,344,78
5084,3544,245,65
5049,3553,324,77
5088,3562,247,65
5052,3565,337,78
5026,3569,420,79
5117,3561,253,59
5078,3566,303,75
5146,3564,154,58
5095,3568,260,78
5062,3569,325,77
5137,3569,170,58
5157,3575,107,63
5107,3577,202,76
5128,3580,154,65
5086,3575,254,77
5128,3590,182,64
5149,3585,118,64
5110,3585,208,75
5130,3579,141,64
5149,3571,108,66
5170,3575,66,64
5113,3577,172,76
5068,3578,283,78
5112,3581,192,63
5081,3581,268,76
5114,3583,195,65
5140,3582,140,65
5193,3574,35,59
5193,3571,34,66
5126,3573,170,78
5087,3572,246,76
5068,3564,280,74
5106,3565,211,65
5129,3569,166,66
5090,3562,229,75
5059,3569,294,76
5026,3575,371,78
5112,3549,209,59
5132,3563,166,66
5083,3564,263,77
5122,3577,208,65
5083,3575,281,76
5053,3572,333,76
5045,3569,361,75
5078,3569,273,66
5054,3562,309,75
5095,3565,222,64
5063,3561,325,79
5044,3562,357,75
5075,3547,291,68
5059,3546,357,77
5096,3550,263,65
5060,3546,336,78
5097,3558,245,64
5117,3564,193,66
5065,3397,4294967273,62
5098,3439,4294967257,64
5127,3480,4294967270,65
5113,3500,44,71
5131,3512,33,66
5093,3526,137,75
5121,3524,106,66
5189,3536,8,58
5192,3554,14,66
5191,3552,11,66
5236,3395,122,83
5229,3431,91,66
5227,3457,67,66
5165,3481,162,75
5109,3508,271,78
5070,3527,323,76
5078,3547,302,76
5061,3542,335,75
5144,3543,181,58
5154,3546,119,64
