time,la_x,la_y,uwb_x,uwb_y,vel_linear_x,vel_angular_z,mpu_ang_vel_z,mpu_linear_acc_x,mpu_linear_acc_y,odom_linear_x,odom_angular_z,odom_filtered_linear_x,odom_filtered_angular_z,odom_yaw,odom_filtered_yaw
1624633349.557791,-1.1739107745812502e-07,-1.1222460152365682e-08,0.0,0.0,,,1.3414634466171265,-0.01513671875,0.0048828125,5.534727438285947e-13,0.0011042478146656147,-4.067611887249067e-08,0.0009722606935846573,0.5503952275785143,0.5511750602559852
1624633349.557791,-1.1739107745812502e-07,-1.1222460152365682e-08,0.0,0.0,,,1.3414634466171265,-0.01513671875,0.0048828125,5.534727438285947e-13,0.0011042478146656147,-4.067611887249067e-08,0.0009722606935846573,0.5503952275785143,0.5511750602559852
1624633349.557791,-1.1739107745812502e-07,-1.1222460152365682e-08,0.0,0.0,,,1.3414634466171265,-0.01513671875,0.0048828125,5.534727438285947e-13,0.0011042478146656147,-4.067611887249067e-08,0.0009722606935846573,0.5503952275785143,0.5511750602559852
1624633349.557791,-1.1739107745812502e-07,-1.1222460152365682e-08,0.0,0.0,,,1.3414634466171265,-0.01513671875,0.0048828125,5.534727438285947e-13,0.0011042478146656147,-4.067611887249067e-08,0.0009722606935846573,0.5503952275785143,0.5511750602559852
1624633349.617791,-1.1333660220277978e-07,-1.04498856190375e-08,0.0,0.0,,,1.3414634466171265,-0.01513671875,0.0048828125,5.536218905516108e-13,0.0014800086756380161,-3.999353367968596e-08,0.0011839758131038107,0.5504071655220979,0.5512022066035254
1624633349.617791,-1.1333660220277978e-07,-1.04498856190375e-08,0.0,0.0,2.672839627848589e-06,2.486362609488424e-05,1.3414634466171265,-0.01513671875,0.0048828125,5.536218905516108e-13,0.0014800086756380161,-3.999353367968596e-08,0.0011839758131038107,0.5504071655220979,0.5512022066035254
1624633349.617791,-1.1333660220277978e-07,-1.04498856190375e-08,0.0,0.0,2.672839627848589e-06,2.486362609488424e-05,1.3414634466171265,-0.01513671875,0.0048828125,5.536218905516108e-13,0.0014800086756380161,-3.999353367968596e-08,0.0011839758131038107,0.5504071655220979,0.5512022066035254
1624633349.617791,-1.1333660220277978e-07,-1.04498856190375e-08,5.82,4.94,2.672839627848589e-06,2.486362609488424e-05,1.3414634466171265,-0.01513671875,0.0048828125,5.536218905516108e-13,0.0014800086756380161,-3.999353367968596e-08,0.0011839758131038107,0.5504071655220979,0.5512022066035254
1624633349.617791,-1.1333660220277978e-07,-1.04498856190375e-08,5.82,4.94,2.672839627848589e-06,2.486362609488424e-05,1.3414634466171265,-0.01513671875,0.0048828125,5.536218905516108e-13,0.0014800086756380161,-3.999353367968596e-08,0.0011839758131038107,0.5504071655220979,0.5512022066035254
1624633349.6777909,-1.0930363143238099e-07,-9.693078023900169e-09,5.82,4.94,2.672839627848589e-06,2.486362609488424e-05,1.3414634466171265,-0.01513671875,0.0048828125,5.445411872515239e-13,0.0013875413621040925,-3.999353367968596e-08,0.0011839758131038107,0.5504076943560413,0.5512022066035254
1624633349.6777909,-1.0930363143238099e-07,-9.693078023900169e-09,5.82,4.94,2.672839627848589e-06,2.486362609488424e-05,1.4634146690368652,-0.02099609375,0.0078125,5.445411872515239e-13,0.0013875413621040925,-3.909722063680765e-08,0.0012272096490680896,0.5504076943560413,0.5512274331927719
1624633349.6777909,-1.0930363143238099e-07,-9.693078023900169e-09,5.82,4.94,2.6076486392412335e-06,2.425719503662549e-05,1.4634146690368652,-0.02099609375,0.0078125,5.445411872515239e-13,0.0013875413621040925,-3.909722063680765e-08,0.0012272096490680896,0.5504076943560413,0.5512274331927719
1624633349.6777909,-1.0930363143238099e-07,-9.693078023900169e-09,5.82,4.94,2.6076486392412335e-06,2.425719503662549e-05,1.4634146690368652,-0.02099609375,0.0078125,5.445411872515239e-13,0.0013875413621040925,-3.909722063680765e-08,0.0012272096490680896,0.5504076943560413,0.5512274331927719
1624633349.6777909,-1.0930363143238099e-07,-9.693078023900169e-09,5.82,4.94,2.6076486392412335e-06,2.425719503662549e-05,1.4634146690368652,-0.02099609375,0.0078125,5.445411872515239e-13,0.0013875413621040925,-3.909722063680765e-08,0.0012272096490680896,0.5504076943560413,0.5512274331927719
1624633349.719791,-1.0581064905053269e-07,-9.09560684856923e-09,5.82,4.94,2.6076486392412335e-06,2.425719503662549e-05,1.4634146690368652,-0.02099609375,0.0078125,5.292684248628578e-13,0.001644152777074738,-3.7022086892020065e-08,0.001390343577599985,0.5504821809346429,0.5512666413273362
1624633349.719791,-1.0581064905053269e-07,-9.09560684856923e-09,5.82,4.94,2.6076486392412335e-06,2.425719503662549e-05,1.4634146690368652,-0.02099609375,0.0078125,5.292684248628578e-13,0.001644152777074738,-3.7022086892020065e-08,0.001390343577599985,0.5504821809346429,0.5512666413273362
1624633349.719791,-1.0581064905053269e-07,-9.09560684856923e-09,5.82,4.94,2.6076486392412335e-06,2.425719503662549e-05,1.4634146690368652,-0.02099609375,0.0078125,5.292684248628578e-13,0.001644152777074738,-3.7022086892020065e-08,0.001390343577599985,0.5504821809346429,0.5512666413273362
1624633349.719791,-1.0581064905053269e-07,-9.09560684856923e-09,5.82,4.95,2.6076486392412335e-06,2.425719503662549e-05,1.4634146690368652,-0.02099609375,0.0078125,5.292684248628578e-13,0.001644152777074738,-3.7022086892020065e-08,0.001390343577599985,0.5504821809346429,0.5512666413273362
1624633349.719791,-1.0581064905053269e-07,-9.09560684856923e-09,5.82,4.95,2.6076486392412335e-06,2.425719503662549e-05,1.4634146690368652,-0.02099609375,0.0078125,5.292684248628578e-13,0.001644152777074738,-3.7022086892020065e-08,0.001390343577599985,0.5504821809346429,0.5512666413273362
1624633349.737791,-1.028397374320018e-07,-8.539487443249442e-09,5.82,4.95,2.6076486392412335e-06,2.425719503662549e-05,1.3414634466171265,-0.0146484375,0.00732421875,5.508794783900213e-13,0.0016107710269831531,-3.3262852197536974e-08,0.0014370245234221746,0.5504167184099558,0.55124699930263
1624633349.737791,-1.028397374320018e-07,-8.539487443249442e-09,5.82,4.95,2.6076486392412335e-06,2.425719503662549e-05,1.3414634466171265,-0.0146484375,0.00732421875,5.508794783900213e-13,0.0016107710269831531,-3.3262852197536974e-08,0.0014370245234221746,0.5504167184099558,0.55124699930263
1624633349.737791,-1.028397374320018e-07,-8.539487443249442e-09,5.82,4.95,2.6076486392412335e-06,2.425719503662549e-05,1.3414634466171265,-0.0146484375,0.00732421875,5.508794783900213e-13,0.0016107710269831531,-3.3262852197536974e-08,0.0014370245234221746,0.5504167184099558,0.55124699930263
1624633349.737791,-1.028397374320018e-07,-8.539487443249442e-09,5.82,4.95,2.6076486392412335e-06,2.425719503662549e-05,1.3414634466171265,-0.0146484375,0.00732421875,5.508794783900213e-13,0.0016107710269831531,-3.3262852197536974e-08,0.0014370245234221746,0.5504167184099558,0.55124699930263
1624633349.737791,-1.028397374320018e-07,-8.539487443249442e-09,5.82,4.95,2.6076486392412335e-06,2.425719503662549e-05,1.3414634466171265,-0.0146484375,0.00732421875,5.508794783900213e-13,0.0016107710269831531,-3.3262852197536974e-08,0.0014370245234221746,0.5504167184099558,0.55124699930263
1624633349.823791,-9.933304689940725e-08,-7.930583790958623e-09,5.82,4.95,2.6076486392412335e-06,2.425719503662549e-05,1.3414634466171265,-0.0146484375,0.00732421875,5.429415010778349e-13,0.0018388347241794743,-3.541082744471306e-08,0.001601908167488604,0.550471927342841,0.5513469468011829
1624633349.823791,-9.933304689940725e-08,-7.930583790958623e-09,5.82,4.95,2.6076486392412335e-06,2.425719503662549e-05,1.3414634466171265,-0.0146484375,0.00732421875,5.429415010778349e-13,0.0018388347241794743,-3.541082744471306e-08,0.001601908167488604,0.550471927342841,0.5513469468011829
1624633349.823791,-9.933304689940725e-08,-7.930583790958623e-09,5.82,4.95,2.6076486392412335e-06,2.425719503662549e-05,1.3414634466171265,-0.0146484375,0.00732421875,5.429415010778349e-13,0.0018388347241794743,-3.541082744471306e-08,0.001601908167488604,0.550471927342841,0.5513469468011829
1624633349.823791,-9.933304689940725e-08,-7.930583790958623e-09,5.83,4.96,2.6076486392412335e-06,2.425719503662549e-05,1.3414634466171265,-0.0146484375,0.00732421875,5.429415010778349e-13,0.0018388347241794743,-3.541082744471306e-08,0.001601908167488604,0.550471927342841,0.5513469468011829
1624633349.823791,-9.933304689940725e-08,-7.930583790958623e-09,5.83,4.96,2.6076486392412335e-06,2.425719503662549e-05,1.3414634466171265,-0.0146484375,0.00732421875,5.429415010778349e-13,0.0018388347241794743,-3.541082744471306e-08,0.001601908167488604,0.550471927342841,0.5513469468011829
