time,la_x,la_y,uwb_x,uwb_y,vel_linear_x,vel_angular_z,mpu_ang_vel_z,mpu_linear_acc_x,mpu_linear_acc_y,odom_linear_x,odom_angular_z,odom_filtered_linear_x,odom_filtered_angular_z,odom_yaw,odom_filtered_yaw,cmd_linear_x,cmd_angular_z,var_x,var_y,var_xvel,var_yvel,vel_linear_y,odom_linear_y,odom_filtered_linear_y,cmd_linear_y
1626092295.871021,1.699631582889511e-05,-5.588771890646038e-09,0.0,0.0,,,1.402438998222351,-0.015625,0.01123046875,,,6.324299493678903e-06,0.001708528805709875,,-0.6684555134024558,,,6.181334902273372,6.1813352117808344,0.010276652088205447,0.010276652088569978,,,1.9281706305421515e-06,
1626092295.931021,1.6389125395604113e-05,-3.326793631220363e-08,5.65,4.93,1.12635188997956e-06,1.0477691830601543e-05,1.402438998222351,-0.015625,0.01123046875,3.125259711092482e-07,0.001655548674576469,6.1849779891876675e-06,0.0016633340618371856,-0.6699967460873576,-0.6684471993438055,,,6.181557144425679,6.181557453933362,0.0104334139434198,0.010433413943750792,0.0,1.567444380910617e-06,1.874996993423571e-06,
1626092295.9910212,1.5791546140740855e-05,-5.990148884703678e-08,5.66,4.93,1.12635188997956e-06,1.0477691830601543e-05,1.3414634466171265,-0.0029296875,0.00927734375,3.1276168317548174e-07,0.0015456541828590075,5.091292891086144e-06,0.0015265267683829647,-0.6700015169841298,-0.6684559237057284,,,6.182305211785295,6.182305521292708,0.00992196219672595,0.009921962196922254,0.0,1.4536207805631705e-06,1.657545936986411e-06,
1626092296.005021,1.533558110506526e-05,-7.870572873988126e-08,5.68,4.97,1.12635188997956e-06,1.0477691830601543e-05,1.402438998222351,-0.009765625,0.00244140625,3.1284740054290406e-07,0.001797823595154006,4.324966323244926e-06,0.0015909798482641733,-0.66999331297416,-0.6685175470928496,,,6.1830446735815245,6.183044983088821,0.00974193366112746,0.00974193366124793,0.0,1.3157952844035706e-06,1.4639514698116112e-06,
1626092296.089021,1.4806680235909776e-05,-9.758881429653815e-08,5.67,4.93,1.1332620033499552e-06,1.0541972187638748e-05,1.2195122241973877,-0.01416015625,0.005859375,3.126653230008697e-07,0.001119104121376497,3.6334329241530565e-06,0.0011654682996792452,-0.6700208365824223,-0.6686197829928975,,,6.183786422585772,6.183786732092993,0.009425170992915594,0.009425170992992072,0.0,1.1929788658859051e-06,1.2946742205122486e-06,
1626092296.111021,1.4357312066557096e-05,-1.1741747547524639e-07,5.67,4.92,1.12635188997956e-06,1.0477691830601543e-05,1.4634146690368652,-0.0107421875,0.00830078125,3.096747226908891e-07,0.0010830993079914406,3.0809601624813946e-06,0.0009275967864896069,-0.6700159217711682,-0.66875064069365,,,6.184587358236345,6.184587667743643,0.009240978550675478,0.00924097855072839,0.0,1.0869921805714969e-06,1.1465207305113821e-06,
1626092296.171021,1.3892100102735703e-05,-1.3727054473855717e-07,5.67,4.92,1.1195255638085655e-06,1.0414190910523757e-05,1.3414634466171265,-0.001953125,0.0166015625,3.1623259733781253e-07,0.0006712240886735033,2.8576795247156713e-06,0.0006518423475320984,-0.6700442437163046,-0.6688704790731702,,,6.185581493091538,6.1855818025992875,0.010209108035420208,0.010209108035464121,0.0,9.71269928308074e-07,1.0095237992244752e-06,
1626092296.2310212,1.3420013185381303e-05,-1.5676006405152213e-07,5.68,4.92,1.1332620033499552e-06,1.0541972187638748e-05,1.3414634466171265,-0.00244140625,0.00830078125,3.1565337125968113e-07,0.0009026439652965423,2.494442680755137e-06,0.0007172597971362572,-0.6700358269267451,-0.6690153275841618,,,6.186317355836115,6.186317665343853,0.01022971437958967,0.010229714379626125,0.0,8.900513493775482e-07,9.054845087167136e-07,
1626092296.291021,1.2948095044537113e-05,-1.7557640573864007e-07,5.67,4.91,1.12635188997956e-06,1.0477691830601543e-05,1.3414634466171265,-0.0048828125,0.00927734375,3.145467585643402e-07,0.0005555403301020105,2.114241880459409e-06,0.0005567975594081553,-0.6700493023385172,-0.6691048702280221,,,6.1870648376160515,6.187065147123739,0.009876409091385267,0.00987640909141673,0.0,8.185033346127245e-07,8.193442037330009e-07,
1626092296.2970212,1.2598750597417522e-05,-1.8896638176477488e-07,5.66,4.91,1.12635188997956e-06,1.0477691830601543e-05,1.2804877758026123,-0.0068359375,0.0068359375,3.1387623562071183e-07,0.0008820030889423536,1.8313472807472022e-06,0.0007440306286257749,-0.6700364730688074,-0.6691950826397463,,,6.187803542720941,6.1878038522286065,0.00973234612621142,0.009732346126239234,0.0,7.566636453633273e-07,7.429943242733418e-07,
1626092296.351021,1.2233788848598171e-05,-2.030120675557479e-07,5.65,4.91,1.1332620033499552e-06,1.0541972187638748e-05,1.3414634466171265,-0.01171875,0.00732421875,3.132579329562806e-07,0.0006652037155885358,1.570926883895082e-06,0.0006688247809975337,-0.6700443846963183,-0.6692596180549146,,,6.188544653945854,6.1885449634534995,0.009423390754915316,0.009423390754940185,0.0,7.035370625081458e-07,6.797515965912415e-07,
1626092296.411021,1.1850327357239413e-05,-2.1717223458672147e-07,5.65,4.91,1.1332620033499552e-06,1.0541972187638748e-05,1.2195122241973877,-0.0068359375,0.00244140625,3.100129354828106e-07,0.0008959183996683799,1.5057130014113203e-06,0.0006448199630509499,-0.6700284935726427,-0.6692877897346844,,,6.189421391987327,6.189421701495201,0.010438030383324975,0.010438030383349568,0.0,6.586506078609401e-07,6.235641233103291e-07,
1626092296.4710212,1.145712092707451e-05,-2.3108721775111817e-07,5.66,4.92,1.1332620033499552e-06,1.0541972187638748e-05,1.402438998222351,0.001953125,0.0166015625,3.129359927037668e-07,0.000456597867428188,1.285676530386969e-06,0.0004921256667397367,-0.6700537770035355,-0.6693252158222941,,,6.190384400150533,6.190384709658412,0.010353505484262124,0.010353505484283588,0.0,6.108044074034441e-07,5.70321152438751e-07,
1626092296.531021,1.1060907390170516e-05,-2.445198668801019e-07,5.67,4.91,0.004296371713280678,-0.0329563282430172,1.3414634466171265,-0.0009765625,0.0078125,0.044694502377924564,0.0007654448900432334,0.0037389119246307827,0.0005526762443046456,-0.6704132032013853,-0.6693863491045132,0.5,0.0,6.19089951701803,6.190899826525852,0.010048461262650627,0.010048461262669447,0.0,8.844307055752065e-07,5.446860284788749e-07,0.0
1626092296.591021,1.0666898951602633e-05,-2.5727923925976645e-07,5.69,4.91,0.4474623203277588,0.016734449192881584,0.060975611209869385,0.103515625,0.8193359375,0.10495488433143804,0.002078816048430005,0.04926784895305311,-0.0001687354785744979,-0.6784343672396499,-0.6712834184471367,0.5,0.0,6.19165577530682,6.191656085581006,0.009544963332141559,0.009544969471191057,0.0,-5.607395636163656e-05,-1.2041650999836427e-05,0.0
1626092296.651021,1.007916043261647e-05,-2.7577550034504065e-07,5.71,4.79,0.4912565350532532,-0.01670338399708271,2.9268293380737305,0.634765625,-0.26171875,0.20750794680306964,0.02044200051423697,0.1705013064768342,0.01726983337196172,-0.6693001823466362,-0.6680434174668811,0.5,0.0,6.193749859612727,6.193750285097593,0.009778293771320438,0.00977848226187176,0.0,0.00013280105409726138,7.055279186473664e-05,0.0
1626092296.7110212,9.759961296056287e-06,-2.8502193683761333e-07,5.61,4.87,0.48693975806236267,0.015903973951935768,1.0365853309631348,0.0537109375,0.02001953125,0.22955439668987423,0.013740075065456306,0.21401087028769647,0.013669097932984167,-0.6688611866377818,-0.6667371816388707,0.5,0.0,6.194997147047568,6.194997812110491,0.009322289804972864,0.009322694653040331,0.0,0.00010245291903479078,9.960215572232792e-05,0.0
