time,imu/ax,imu/ay,imu/awz,encoder/vx,encoder/vy,encoder/wz,uwb/x,uwb/y,accel/ax,accel/ay,accel/awz,accel/var_ax,accel/var_ay,accel/var_awz,odom/vx,odom/vy,odom/wz,odom/var_vx,odom/var_vy,odom/var_wz,cmd/vx,cmd/vy,cmd/wz
1626278900763469934,,,,2.57986380348e-06,0.0,2.39987330133e-05,,,1.46620752251e-12,2.07925138063e-08,0.0,0.0271760971972,0.0271760971972,0.0,-1.47123737212e-12,2.76526981503e-08,0.00152286153266,0.0634474116057,0.0634474116057,0.00333301936104,,,
1626278900821470022,-0.00830078125,0.02099609375,1.34146344662,2.45701312451e-06,0.0,2.28559365496e-05,,,1.45532507256e-12,2.00888313073e-08,0.0,0.0271561007934,0.0271561007935,0.0,-1.43120816456e-12,2.69457232807e-08,0.00143036789023,0.0633124240227,0.0633124240227,0.00448517276275,,,
1626278900881469965,,,,,,,5.63,4.89,1.35255393788e-12,1.94019929108e-08,0.0,0.0271561092143,0.0271561092144,0.0,-1.3961079724e-12,2.62804791603e-08,0.00142140411688,0.0633061498281,0.0633061498281,0.00370849449263,,,
1626278900881469965,-0.02197265625,0.017578125,1.34146344662,2.57986380348e-06,0.0,2.39987330133e-05,,,1.35255393788e-12,1.94019929108e-08,0.0,0.0271561092143,0.0271561092144,0.0,-1.3961079724e-12,2.62804791603e-08,0.00142140411688,0.0633061498281,0.0633061498281,0.00370849449263,,,
1626278900971470118,,,,2.45701312451e-06,0.0,2.28559365496e-05,5.63,4.89,1.35322217791e-12,1.87319632612e-08,0.0,0.0274561127206,0.0274561127207,0.0,-1.30415675598e-12,2.61845616705e-08,0.0011527421491,0.0655110684999,0.0655110685,0.00347198487385,,,
1626278901001470089,-0.01416015625,0.01318359375,1.40243899822,2.45701312451e-06,0.0,2.28559365496e-05,,,1.29219953882e-12,1.80786380223e-08,0.0,0.0271561324973,0.0271561324974,0.0,-1.29881888941e-12,2.49654166266e-08,0.00111486446558,0.0632985064963,0.0632985064963,0.00406462967404,,,
1626278901075469971,,,,2.57986380348e-06,0.0,2.39987330133e-05,5.64,4.9,1.23937311611e-12,1.74419426956e-08,0.0,0.0272961647203,0.0272961647204,0.0,-1.23496874035e-12,2.45623291712e-08,0.0012359188451,0.0643223574989,0.064322357499,0.00348553332019,,,
1626278901159470081,-0.009765625,0.00732421875,1.2804877758,2.45701312451e-06,0.0,2.28559365496e-05,,,1.19933729615e-12,1.6821697442e-08,0.0,0.0275362165085,0.0275362165086,0.0,-1.16233376395e-12,2.43143681289e-08,0.00129475689915,0.0660873795456,0.0660873795457,0.00309644540927,,,
1626278901181470156,,,,,,,5.63,4.91,1.15104921724e-12,1.62177478878e-08,0.0,0.0271562653032,0.0271562653032,0.0,-1.1686420706e-12,2.30373681944e-08,0.00126327992505,0.0632776036288,0.0632776036288,0.00353100379934,,,
1626278901263469934,-0.00146484375,0.017578125,1.2804877758,2.57986380348e-06,0.0,2.39987330133e-05,,,1.12150415896e-12,1.5629953239e-08,0.0,0.0273763135108,0.0273763135108,0.0,-1.11339969023e-12,2.2755370249e-08,0.00146346230438,0.0648892175875,0.0648892175875,0.00333469430098,,,
1626278901301470041,,,,2.45701312451e-06,0.0,2.28559365496e-05,5.62,4.9,1.10052997403e-12,1.50580675785e-08,0.0,0.0271563551809,0.0271563551809,0.0,-1.10726254099e-12,2.17907881223e-08,0.00140409990495,0.0632708811616,0.0632708811616,0.00408762082417,,,
1626278901301470041,-0.00634765625,0.021484375,1.34146344662,2.45701312451e-06,0.0,2.28559365496e-05,,,1.10052997403e-12,1.50580675785e-08,0.0,0.0271563551809,0.0271563551809,0.0,-1.10726254099e-12,2.17907881223e-08,0.00140409990495,0.0632708811616,0.0632708811616,0.00408762082417,,,
1626278901421469927,,,,2.57986380348e-06,0.0,2.39987330133e-05,5.63,4.92,1.06173364056e-12,1.39612085954e-08,0.0,0.0271563827633,0.0271563827634,0.0,-1.04700166922e-12,2.05814585559e-08,0.00135628040996,0.0632845151873,0.0632845151873,0.00450238350505,,,
1626278901481470108,-0.01611328125,0.0234375,1.34146344662,2.57986380348e-06,0.0,2.39987330133e-05,,,9.91424652891e-13,1.34357468072e-08,0.0,0.0271563683131,0.0271563683131,0.0,-1.02971480852e-12,1.99888386251e-08,0.00153764859571,0.0632830307478,0.0632830307478,0.00366751549257,,,
1626278901481470108,,,,,,,5.64,4.9,9.91424652891e-13,1.34357468072e-08,0.0,0.0271563683131,0.0271563683131,0.0,-1.02971480852e-12,1.99888386251e-08,0.00153764859571,0.0632830307478,0.0632830307478,0.00366751549257,,,
1626278901575469971,-0.01123046875,0.02392578125,1.34146344662,2.57986380348e-06,0.0,2.39987330133e-05,,,9.98952417599e-13,1.29253130247e-08,0.0,0.0274963231567,0.0274963231567,0.0,-9.76322933097e-13,1.98470555115e-08,0.00162997501154,0.0657884830457,0.0657884830457,0.00348756036588,,,
1626278901601469994,,,,2.45701312451e-06,0.0,2.28559365496e-05,5.63,4.89,9.61292424736e-13,1.24296639289e-08,0.0,0.0271562660728,0.0271562660729,0.0,-9.92827849159e-13,1.88324642331e-08,0.00158330822405,0.0632826222315,0.0632826222316,0.00400036991868,,,
1626278901661469936,-0.0146484375,0.0087890625,1.40243899822,2.45701312451e-06,0.0,2.28559365496e-05,,,9.20682475431e-13,1.19486047584e-08,0.0,0.0271561922134,0.0271561922135,0.0,-9.7286662852e-13,1.82695742087e-08,0.00147243494131,0.0632861453327,0.0632861453327,0.00313332246987,,,
1626278901721470118,,,,2.57986380348e-06,0.0,2.39987330133e-05,5.63,4.89,9.62501837308e-13,1.14818739733e-08,0.0,0.0271561437309,0.027156143731,0.0,-9.44018293568e-13,1.77181715647e-08,0.00138024544493,0.0632991986384,0.0632991986384,0.0043262470029,,,
1626278901781470060,-0.0029296875,0.01806640625,1.34146344662,2.45701312451e-06,0.0,2.28559365496e-05,,,8.98647392993e-13,1.1029178232e-08,0.0,0.027156088948,0.0271560889481,0.0,-9.24256661226e-13,1.7174077722e-08,0.00146284871929,0.0632918239285,0.0632918239285,0.00369065949938,,,
1626278901781470060,,,,,,,5.64,4.88,8.98647392993e-13,1.1029178232e-08,0.0,0.027156088948,0.0271560889481,0.0,-9.24256661226e-13,1.7174077722e-08,0.00146284871929,0.0632918239285,0.0632918239285,0.00369065949938,,,
1626278901867470026,-0.00439453125,0.01806640625,1.40243899822,2.57986380348e-06,0.0,2.39987330133e-05,,,8.9348730306e-13,1.05902964894e-08,0.0,0.0274160150286,0.0274160150286,0.0,-8.80031853509e-13,1.69178760592e-08,0.00157160687406,0.0652017119959,0.065201711996,0.00343279130788,,,
1626278901901469946,,,,2.45701312451e-06,0.0,2.28559365496e-05,5.64,4.87,8.68494374967e-13,1.01649653768e-08,0.0,0.0271559462817,0.0271559462817,0.0,-8.8241471941e-13,1.61187112188e-08,0.00151398938189,0.0632868376423,0.0632868376423,0.00410542598479,,,
1626278901971470118,-0.009765625,0.01611328125,1.2804877758,2.57986380348e-06,0.0,2.39987330133e-05,5.64,4.87,8.58133269344e-13,9.75294927918e-09,0.0,0.0272558867496,0.0272558867496,0.0,-8.4916989235e-13,1.57056242921e-08,0.00139485801052,0.0640201624689,0.0640201624689,0.00346987209171,,,
1626278902021470070,,,,2.57986380348e-06,0.0,2.39987330133e-05,,,8.40845801863e-13,9.3539559217e-09,0.0,0.0271558392797,0.0271558392797,0.0,-8.30334145357e-13,1.51072284396e-08,0.00132108514106,0.0632915985553,0.0632915985554,0.00446147374042,,,
1626278902081470013,-0.00732421875,0.01904296875,1.2804877758,2.45701312451e-06,0.0,2.28559365496e-05,5.64,4.87,7.94635986054e-13,8.96771263642e-09,0.0,0.0271557827089,0.0271557827089,0.0,-8.06721002244e-13,1.46153454968e-08,0.00128144871943,0.0632750884308,0.0632750884308,0.00360516637631,,,
1626278902081470013,,,,,,,,,7.94635986054e-13,8.96771263642e-09,0.0,0.0271557827089,0.0271557827089,0.0,-8.06721002244e-13,1.46153454968e-08,0.00128144871943,0.0632750884308,0.0632750884308,0.00360516637631,,,
1626278902159470081,-0.00439453125,0.0166015625,1.34146344662,2.57986380348e-06,0.0,2.39987330133e-05,,,7.71624721996e-13,8.59397692402e-09,0.0,0.0273357264576,0.0273357264576,0.0,-7.7449013643e-13,1.42916277664e-08,0.00164188010373,0.0645935583703,0.0645935583703,0.00333212054373,,,
1626278902201470137,,,,2.45701312451e-06,0.0,2.28559365496e-05,5.64,4.88,7.65936116586e-13,8.23244472799e-09,0.0,0.0271556633921,0.0271556633921,0.0,-7.66111736457e-13,1.36677136327e-08,0.00156871372248,0.0632722866092,0.0632722866092,0.0041648640949,,,
1626278902263469934,-0.0126953125,0.021484375,1.40243899822,2.71564613286e-06,0.0,2.52618247032e-05,,,7.39471057268e-13,7.88285126908e-09,0.0,0.0271755927852,0.0271755927852,0.0,-7.50426425664e-13,1.3226999707e-08,0.00179442883686,0.0634264913496,0.0634264913496,0.00342940034019,,,
1626278902321470022,,,,2.57986380348e-06,0.0,2.39987330133e-05,5.64,4.87,7.41675703067e-13,7.54489557957e-09,0.0,0.0271555266307,0.0271555266307,0.0,-7.31673264793e-13,1.27657541732e-08,0.00168541233198,0.0632937978884,0.0632937978884,0.00458099280848,,,
1626278902381469965,-0.01220703125,0.01513671875,1.2804877758,2.45701312451e-06,0.0,2.28559365496e-05,,,6.90525971697e-13,7.21828875375e-09,0.0,0.0271554414858,0.0271554414858,0.0,-7.18374979171e-13,1.23292390581e-08,0.00168338336491,0.0632899550523,0.0632899550523,0.00374670932133,,,
1626278902381469965,,,,,,,5.65,4.88,6.90525971697e-13,7.21828875375e-09,0.0,0.0271554414858,0.0271554414858,0.0,-7.18374979171e-13,1.23292390581e-08,0.00168338336491,0.0632899550523,0.0632899550523,0.00374670932133,,,
1626278902471470118,-0.01611328125,0.01513671875,1.2804877758,2.57986380348e-06,0.0,2.39987330133e-05,,,6.97676114077e-13,6.90278744183e-09,0.0,0.0274553331449,0.0274553331449,0.0,-6.85297348422e-13,1.21117629969e-08,0.00180874090601,0.0654973146713,0.0654973146714,0.00348707911161,,,
1626278902501470089,,,,2.45701312451e-06,0.0,2.28559365496e-05,5.65,4.89,6.74724058158e-13,6.59812662962e-09,0.0,0.0271552287369,0.027155228737,0.0,-6.9422109702e-13,1.1488532002e-08,0.00174962602323,0.0632867103586,0.0632867103586,0.00407962704978,,,
1626278902561470032,-0.0048828125,0.015625,1.40243899822,2.57986380348e-06,0.0,2.39987330133e-05,,,6.48617059898e-13,6.30406514051e-09,0.0,0.0271551283182,0.0271551283182,0.0,-6.84419481073e-13,1.10838109872e-08,0.00176227187843,0.0632829455626,0.0632829455626,0.00321279071347,,,
1626278902631243944,,,,2.57986380348e-06,0.0,2.39987330133e-05,5.64,4.9,6.76081177748e-13,5.98297826069e-09,0.0,0.0271710582847,0.0271710582848,0.0,-6.60461369119e-13,1.06509246536e-08,0.00163398326196,0.0634324869872,0.0634324869872,0.00459956182019,,,
