time,speed,distance,x,y,uwb_x,uwb_y,time_in_sec
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.2599999999999998,1.18,2.26,1618219273.19647
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.2599999999999998,1.18,2.26,1618219273.223821
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.2599999999999998,1.18,2.26,1618219273.240511
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.2599999999999998,1.18,2.26,1618219273.269343
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.2599999999999998,1.18,2.26,1618219273.285432
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.2599999999999998,1.18,2.26,1618219273.301589
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.2599999999999998,1.18,2.26,1618219273.313099
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.2599999999999998,1.18,2.26,1618219273.322768
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.2599999999999998,1.18,2.26,1618219273.332393
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.2599999999999998,1.19,2.27,1618219273.342072
2021-04-12 11:21:13,0.5,2,1.1899999999999999,2.27,1.19,2.27,1618219273.391577
2021-04-12 11:21:13,0.5,2,1.1899999999999999,2.27,1.19,2.27,1618219273.403279
2021-04-12 11:21:13,0.5,2,1.1899999999999999,2.27,1.19,2.27,1618219273.414858
2021-04-12 11:21:13,0.5,2,1.1899999999999999,2.27,1.19,2.27,1618219273.42604
2021-04-12 11:21:13,0.5,2,1.1899999999999999,2.27,1.19,2.27,1618219273.437487
2021-04-12 11:21:13,0.5,2,1.1899999999999999,2.27,1.18,2.27,1618219273.451148
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.27,1.18,2.27,1618219273.512891
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.27,1.18,2.27,1618219273.524182
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.27,1.18,2.27,1618219273.536716
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.27,1.18,2.25,1618219273.558639
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.25,1.18,2.25,1618219273.611077
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.25,1.18,2.25,1618219273.622685
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.25,1.18,2.25,1618219273.633935
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.25,1.18,2.26,1618219273.645755
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.2599999999999998,1.18,2.26,1618219273.717449
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.2599999999999998,1.18,2.26,1618219273.728706
2021-04-12 11:21:13,0.5,2,1.1799999999999999,2.2599999999999998,1.22,2.29,1618219273.74151
2021-04-12 11:21:13,0.5,2,1.22,2.29,1.22,2.29,1618219273.827144
2021-04-12 11:21:13,0.5,2,1.22,2.29,1.24,2.29,1618219273.840218
2021-04-12 11:21:13,0.5,2,1.24,2.29,1.24,2.29,1618219273.915358
2021-04-12 11:21:13,0.5,2,1.24,2.29,1.24,2.29,1618219273.933536
2021-04-12 11:21:13,0.5,2,1.24,2.29,1.27,2.31,1618219273.945475
2021-04-12 11:21:13,0.5,2,1.27,2.3100000000000001,1.33,2.33,1618219274.037946
2021-04-12 11:21:13,0.5,2,1.3300000000000001,2.3300000000000001,1.39,2.35,1618219274.131772
2021-04-12 11:21:13,0.5,2,1.46,2.29,1.5,2.22,1618219274.311596
2021-04-12 11:21:13,0.5,2,1.5,2.2200000000000002,1.6,2.02,1618219274.447558
2021-04-12 11:21:13,0.5,2,1.6000000000000001,2.02,1.65,2.11,1618219274.623087
2021-04-12 11:21:13,0.5,2,1.72,2.1699999999999999,1.78,2.24,1618219274.775337
2021-04-12 11:21:13,0.5,2,1.78,2.2400000000000002,1.83,2.27,1618219274.960874
2021-04-12 11:21:13,0.5,2,1.8300000000000001,2.27,1.9,2.26,1618219275.056876
2021-04-12 11:21:13,0.5,2,1.9399999999999999,2.27,1.99,2.27,1618219275.171491
2021-04-12 11:21:13,0.5,2,1.99,2.27,2.05,2.29,1618219275.342295
2021-04-12 11:21:13,0.5,2,2.1099999999999999,2.29,2.15,2.3,1618219275.501151
2021-04-12 11:21:13,0.5,2,2.1499999999999999,2.2999999999999998,2.28,2.31,1618219275.657532
2021-04-12 11:21:13,0.5,2,2.2799999999999998,2.3100000000000001,2.47,2.29,1618219275.834548
2021-04-12 11:21:13,0.5,2,2.4700000000000002,2.29,2.63,2.25,1618219276.121913
2021-04-12 11:21:13,0.5,2,2.6299999999999999,2.25,2.61,2.22,1618219276.319313
2021-04-12 11:21:13,0.5,2,2.6099999999999999,2.2200000000000002,2.67,2.21,1618219276.466325
2021-04-12 11:21:13,0.5,2,2.6699999999999999,2.21,2.67,2.2,1618219276.567601
2021-04-12 11:21:13,0.5,2,2.6699999999999999,2.2000000000000002,2.74,2.2,1618219276.757392
2021-04-12 11:21:13,0.5,2,2.7400000000000002,2.2000000000000002,2.89,2.25,1618219276.932119
2021-04-12 11:21:13,0.5,2,2.98,2.27,3.06,2.3,1618219277.162212
2021-04-12 11:21:13,0.5,2,3.0600000000000001,2.2999999999999998,3.26,2.33,1618219277.357427
2021-04-12 11:21:17,0.5,2,3.3399999999999999,2.3300000000000001,3.4,2.31,1618219277.61905
2021-04-12 11:21:17,0.5,2,3.46,2.25,3.52,2.22,1618219277.793228
2021-04-12 11:21:17,0.5,2,3.54,2.2200000000000002,3.57,2.19,1618219278.006033
