time,speed,distance,x,y,uwb_x,uwb_y,time_in_sec
2021-04-21 10:55:17,0.5,2,1.97,2.3100000000000001,1.98,2.31,1618995317.195795
2021-04-21 10:55:17,0.5,2,1.98,2.3100000000000001,1.98,2.31,1618995317.269002
2021-04-21 10:55:17,0.5,2,1.98,2.3100000000000001,1.98,2.31,1618995317.314465
2021-04-21 10:55:17,0.5,2,1.98,2.3100000000000001,1.98,2.31,1618995317.324715
2021-04-21 10:55:17,0.5,2,1.98,2.3100000000000001,1.98,2.31,1618995317.335713
2021-04-21 10:55:17,0.5,2,1.98,2.3100000000000001,1.98,2.31,1618995317.34662
2021-04-21 10:55:17,0.5,2,1.98,2.3100000000000001,1.98,2.31,1618995317.357605
2021-04-21 10:55:17,0.5,2,1.98,2.3100000000000001,1.98,2.31,1618995317.368748
2021-04-21 10:55:17,0.5,2,1.98,2.3100000000000001,1.98,2.31,1618995317.408992
2021-04-21 10:55:17,0.5,2,1.98,2.3100000000000001,1.98,2.31,1618995317.427481
2021-04-21 10:55:17,0.5,2,1.98,2.3100000000000001,1.98,2.31,1618995317.440819
2021-04-21 10:55:17,0.5,2,1.98,2.3100000000000001,1.98,2.31,1618995317.452691
2021-04-21 10:55:17,0.5,2,1.98,2.3100000000000001,1.98,2.3,1618995317.464853
2021-04-21 10:55:17,0.5,2,1.98,2.2999999999999998,1.98,2.3,1618995317.518796
2021-04-21 10:55:17,0.5,2,1.98,2.2999999999999998,1.98,2.3,1618995317.536619
2021-04-21 10:55:17,0.5,2,1.98,2.2999999999999998,1.98,2.3,1618995317.553524
2021-04-21 10:55:17,0.5,2,1.98,2.2999999999999998,2.0,2.29,1618995317.567749
2021-04-21 10:55:17,0.5,2,2.0,2.29,2.0,2.29,1618995317.643717
2021-04-21 10:55:17,0.5,2,2.0,2.29,2.0,2.29,1618995317.655809
2021-04-21 10:55:17,0.5,2,2.0,2.29,2.01,2.29,1618995317.668812
2021-04-21 10:55:17,0.5,2,2.0099999999999998,2.29,2.01,2.29,1618995317.739778
2021-04-21 10:55:17,0.5,2,2.0099999999999998,2.29,2.02,2.3,1618995317.763103
2021-04-21 10:55:17,0.5,2,2.02,2.2999999999999998,2.02,2.3,1618995317.841097
2021-04-21 10:55:17,0.5,2,2.02,2.2999999999999998,2.02,2.3,1618995317.854227
2021-04-21 10:55:17,0.5,2,2.02,2.2999999999999998,2.05,2.3,1618995317.865817
2021-04-21 10:55:17,0.5,2,2.0499999999999998,2.2999999999999998,2.05,2.3,1618995317.948688
2021-04-21 10:55:17,0.5,2,2.0499999999999998,2.2999999999999998,2.05,2.3,1618995317.962461
2021-04-21 10:55:17,0.5,2,2.0499999999999998,2.2999999999999998,2.08,2.32,1618995317.9874
2021-04-21 10:55:17,0.5,2,2.0800000000000001,2.3199999999999998,2.14,2.34,1618995318.068411
2021-04-21 10:55:17,0.5,2,2.1400000000000001,2.3399999999999999,2.19,2.37,1618995318.169625
2021-04-21 10:55:17,0.5,2,2.1899999999999999,2.3700000000000001,2.25,2.4,1618995318.281726
2021-04-21 10:55:17,0.5,2,2.25,2.3999999999999999,2.3,2.44,1618995318.371798
2021-04-21 10:55:17,0.5,2,2.3500000000000001,2.3700000000000001,2.39,2.4,1618995318.528128
2021-04-21 10:55:17,0.5,2,2.4399999999999999,2.4100000000000001,2.53,2.4,1618995318.70025
2021-04-21 10:55:17,0.5,2,2.5299999999999998,2.3999999999999999,2.64,2.36,1618995318.907428
2021-04-21 10:55:17,0.5,2,2.6400000000000001,2.3599999999999999,2.7,2.36,1618995319.16242
2021-04-21 10:55:17,0.5,2,2.7000000000000002,2.3599999999999999,2.7,2.36,1618995319.269171
2021-04-21 10:55:17,0.5,2,2.7000000000000002,2.3599999999999999,2.8,2.36,1618995319.299297
2021-04-21 10:55:17,0.5,2,2.7999999999999998,2.3599999999999999,2.8,2.36,1618995319.460292
2021-04-21 10:55:17,0.5,2,2.7999999999999998,2.3599999999999999,2.96,2.36,1618995319.498698
2021-04-21 10:55:17,0.5,2,3.0,2.3399999999999999,3.06,2.33,1618995319.825832
