time,predicted_x,corrected_x,uwb_x,uwb_y,vel_x
1622471236.36217,1.59093233346337E-06,8.78151439501474E-07,2,2.31,
1622471236.38775,8.78151439501474E-07,0.896042727275614,2,2.31,
1622471236.39643,0.89604891261612,1.39064028571797,2,2.31,
1622471236.40755,1.39064028571797,1.66364484559686,2,2.31,
1622471236.4151,1.66364484559686,1.81433819426329,2,2.31,
1622471236.42651,1.81433819426329,1.8975181176575,2,2.31,
1622471236.44165,1.8975181176575,1.94343189506081,2,2.31,
1622471236.44888,1.94343632866463,1.96877789858356,2,2.31,
1622471236.46278,1.96877789858356,1.98276597688156,2,2.31,
1622471236.47281,1.98276597688156,1.99048713764885,2,2.31,
1622471236.48477,1.99048713764885,1.99474907573743,2,2.31,
1622471236.49214,1.99474907573743,1.9971015868205,2,2.31,
1622471236.49899,1.99838996646716,1.99911129123603,2,2.31,
1622471236.50877,1.99911129123603,1.99950944918161,2,2.31,
1622471236.51686,1.99950944918161,1.99972922501141,2,2.31,
1622471236.52376,1.99972922501141,1.999850537209,2,2.31,
1622471236.52895,1.999850537209,1.99991749930076,2,2.31,
1622471236.53714,2.00226743671732,2.00125158317598,2,2.31,
1622471236.54299,2.00125158317598,2.00069085078954,2,2.31,
1622471236.55426,2.00069085078954,2.00038133687203,2,2.31,
1622471236.56415,2.00038133687203,2.00021049090798,2,2.31,
1622471236.5738,2.00021049090798,1.99563600233749,1.99,2.32,
1622471236.58509,1.99952630391092,1.99525834375579,1.99,2.32,
1622471236.59392,1.99525834375579,1.99290250860278,1.99,2.32,
1622471236.60376,1.99290250860278,1.99160213112349,1.99,2.32,
1622471236.61418,1.99160213112349,1.99088434678003,1.99,2.32,
1622471236.62475,1.99088434678003,1.99048814308384,1.99,2.32,
1622471236.63559,1.99615272756015,1.99339619193861,1.99,2.32,
1622471236.6443,1.99339619193861,1.99187463520384,1.99,2.32,
1622471236.65468,1.99187463520384,1.99103476399774,1.99,2.32,
1622471236.66469,1.99103476399774,1.99057117060899,1.99,2.32,
1622471236.67583,1.99057117060899,1.9992756451331,2.01,2.32,
1622471236.68463,2.00695527328735,2.0083193671074,2.01,2.32,
1622471236.69419,2.0083193671074,2.00907232169379,2.01,2.32,
1622471236.70544,2.00907232169379,2.00948793871427,2.01,2.32,
1622471236.7145,2.00948793871427,2.00971735163086,2.01,2.32,
1622471236.72471,2.00971735163086,2.0098439833223,2.01,2.32,
1622471236.73522,2.01369879867493,2.01204166853148,2.01,2.32,
1622471236.74471,2.01204166853148,2.01112696330857,2.01,2.32,
1622471236.75576,2.01112696330857,2.01062206292514,2.01,2.32,
1622471236.76653,2.01062206292514,2.01930373675136,2.03,2.34,
1622471236.7823,2.01930373675136,2.02409586030534,2.03,2.34,
1622471236.78915,2.03344825649808,2.03190337387874,2.03,2.34,
1622471236.79641,2.03190337387874,2.03105062721532,2.03,2.34,
1622471236.80534,2.03105062721532,2.03057992681202,2.03,2.34,
1622471236.81597,2.03057992681202,2.03032010888581,2.03,2.34,
1622471236.82621,2.03032010888581,2.0301766941908,2.03,2.34,
1622471236.83683,2.04148381206471,2.03633885209078,2.03,2.34,
1622471236.84634,2.03633885209078,2.03349892924078,2.03,2.34,
1622471236.85729,2.03349892924078,2.03193134429651,2.06,2.35,
1622471236.88143,2.03193134429651,2.04450662063355,2.06,2.35,
1622471236.88615,2.04450662063355,2.05144794083733,2.06,2.35,
1622471236.89412,2.0649200990727,2.06271580378694,2.06,2.35,
1622471236.90163,2.06271580378694,2.06149907351461,2.06,2.35,
1622471236.90925,2.06149907351461,2.06082746088396,2.06,2.35,
1622471236.9171,2.06082746088396,2.06045674312021,2.06,2.35,
1622471236.92743,2.06045674312021,2.06025211376381,2.06,2.35,
1622471236.93747,2.07564852389877,2.06863769607814,2.06,2.35,
1622471236.94686,2.06863769607814,2.06476784864955,2.06,2.35,
1622471236.95852,2.06476784864955,2.06263176436626,2.06,2.35,
1622471236.97415,2.06263176436626,2.07489323957146,2.09,2.36,
