x,y,z,q,,act_x,act_y,dist
6201,2901,4294966987,55,,6.226,2.899,0.025079872407969
6204,2893,4294967013,58,,,,0.022803508501983
6206,2888,4294966999,55,,,,0.022825424421026
6201,2888,4294966970,54,,,,0.027313000567496
6208,2891,4294966974,55,,,,0.019697715603592
6218,2888,4294966980,56,,,,0.013601470508736
6222,2891,4294966975,55,,,,0.008944271909999
6213,2886,4294966978,56,,,,0.01838477631085
6198,2875,4294966973,56,,,,0.036878177829171
6213,2883,4294966976,55,,,,0.020615528128088
6166,2895,4294967030,66,,,,0.060133185513491
6168,2887,4294967018,56,,,,0.059228371579843
6184,2883,4294967006,55,,,,0.044944410108488
6181,2896,4294966998,56,,,,0.045099889135119
6191,2899,4294966992,55,,,,0.035
6196,2886,4294966994,56,,,,0.032695565448544
6203,2900,4294966996,56,,,,0.023021728866442
6176,2874,4294967017,60,,,,0.055901699437495
6194,2880,4294967006,55,,,,0.037215588131857
6201,2884,4294966990,55,,,,0.029154759474227
6207,2880,4294966988,56,,,,0.026870057685089
6202,2885,4294966981,55,,,,0.0277848879789
6210,2880,4294966991,56,,,,0.024839484696749
6212,2890,4294966979,54,,,,0.016643316977093
6202,2888,4294966993,57,,,,0.026400757564888
6214,2900,4294966992,55,,,,0.012041594578792
6155,2809,4294966922,71,,,,0.114634200830293
6182,2838,4294966932,54,,,,0.075213030785895
6184,2849,4294966952,57,,,,0.065299310869258
6191,2871,4294966966,56,,,,0.04482186966203
6201,2884,4294966956,54,,,,0.029154759474227
6207,2897,4294966965,55,,,,0.019104973174543
6206,2893,4294966964,55,,,,0.020880613017821
6207,2898,4294966984,57,,,,0.019026297590441
6207,2883,4294967002,58,,,,0.024839484696749
6201,2896,4294967001,56,,,,0.025179356624029
6209,2877,4294966990,55,,,,0.027802877548916
6227,2899,4294966988,54,,,,0.001
6210,2882,4294966996,58,,,,0.023345235059858
6203,2889,4294966997,56,,,,0.025079872407969
6202,2891,4294966987,55,,,,0.025298221281347
6190,2871,4294967005,59,,,,0.045607017003965
6199,2892,4294967009,56,,,,0.027892651361963
6193,2881,4294967008,57,,,,0.037589892258426
6200,2889,4294967001,55,,,,0.027856776554368
6207,2903,4294967004,56,,,,0.019416487838948
6213,2887,4294967009,57,,,,0.017691806012954
6218,2895,4294966991,54,,,,0.008944271909999
6213,2913,4294967001,56,,,,0.019104973174543
6206,2905,4294967015,58,,,,0.020880613017821
6203,2873,4294967014,57,,,,0.034713109915419
6206,2883,4294967005,55,,,,0.025612496949731
6205,2890,4294966999,56,,,,0.022847319317592
6206,2875,4294967000,57,,,,0.031240998703626
6203,2870,4294967019,58,,,,0.037013511046643
6194,2878,4294967028,58,,,,0.038275318418009
6183,2875,4294967017,57,,,,0.049244289008981
6194,2870,4294967002,55,,,,0.043185645763378
6201,2862,4294966996,56,,,,0.044654227123532
6212,2879,4294967006,56,,,,0.024413111231468
6206,2892,4294967014,57,,,,0.021189620100417
6202,2880,4294967002,56,,,,0.030610455730028
6201,2869,4294967002,57,,,,0.039051248379533
6192,2858,4294966998,57,,,,0.053263495942343
6205,2865,4294966980,54,,,,0.039962482405376
6212,2874,4294966973,55,,,,0.028653097563789
6214,2883,4294966971,55,,,,0.02
6209,2888,4294966974,56,,,,0.020248456731317
6203,2894,4294966979,56,,,,0.023537204591879
6208,2910,4294966996,56,,,,0.021095023109729
6219,2904,4294966991,55,,,,0.008602325267042
6220,2895,4294966999,57,,,,0.007211102550928
6224,2896,4294967013,57,,,,0.003605551275464
6218,2888,4294967026,58,,,,0.013601470508736
6219,2895,4294967035,57,,,,0.008062257748298
6217,2892,4294967030,56,,,,0.011401754250992
6222,2887,4294967024,56,,,,0.012649110640673
6226,2884,4294967006,55,,,,0.015
6220,2889,4294967001,56,,,,0.011661903789691
6215,2893,4294966994,56,,,,0.012529964086142
6209,2886,4294966983,55,,,,0.021400934559033
6205,2885,4294966987,56,,,,0.025238858928248
6195,2876,4294966972,55,,,,0.038600518131237
6179,2869,4294966973,57,,,,0.055758407437802
6178,2871,4294966974,56,,,,0.055569775957799
6199,2881,4294966964,54,,,,0.032449961479176
6204,2889,4294966967,55,,,,0.02416609194719
6213,2890,4294966978,56,,,,0.015811388300842
6220,2886,4294966981,56,,,,0.014317821063276
6225,2889,4294966979,55,,,,0.010049875621121
6219,2886,4294966969,55,,,,0.014764823060233
6220,2885,4294966968,55,,,,0.015231546211728
6213,2876,4294966986,58,,,,0.026419689627246
6208,2880,4294967001,57,,,,0.026172504656605
6208,2888,4294967008,57,,,,0.021095023109729
6217,2887,4294966989,54,,,,0.015
6215,2892,4294966985,55,,,,0.013038404810406
6217,2895,4294966985,55,,,,0.009848857801796
6217,2895,4294966989,56,,,,0.009848857801796
6224,2905,4294966999,56,,,,0.006324555320336
6222,2899,4294966983,55,,,,0.004
6217,2894,4294966986,56,,,,0.010295630140987
6216,2876,4294966990,57,,,,0.025079872407969
6223,2890,4294966974,54,,,,0.009486832980505
6215,2891,4294966982,56,,,,0.013601470508736
