x,y,z,q,,act_x,act_y,dist,forward,lateral
5216,2805,173,75,,5.226,2.925,0.120415945787923,-0.01,-0.12
5229,2807,122,71,,,,0.118038129432823,0.003,-0.118
5248,2811,105,73,,,,0.1161034021896,0.022,-0.114
5254,2810,90,73,,,,0.118359621493142,0.028,-0.115
5262,2807,99,74,,,,0.123369364106329,0.036,-0.118
5234,2809,172,80,,,,0.116275534829989,0.008,-0.116
5251,2797,120,71,,,,0.130418556961806,0.025,-0.128
5236,2810,143,76,,,,0.115433963806152,0.01,-0.115
5246,2813,112,72,,,,0.113771701226623,0.020000000000001,-0.112
5249,2806,106,74,,,,0.121202310209005,0.023,-0.119
5250,2816,72,71,,,,0.111610931364271,0.024,-0.109
5260,2812,61,72,,,,0.118004237212059,0.034,-0.113
5280,2818,32,70,,,,0.119854077944807,0.054,-0.107
5280,2813,68,75,,,,0.124338248338956,0.054,-0.112
5302,2815,35,70,,,,0.133701159306866,0.076,-0.11
5311,2818,33,72,,,,0.136652844829517,0.085,-0.107
5299,2812,62,75,,,,0.134528807323934,0.073,-0.113
5253,2817,145,80,,,,0.111323851891677,0.027,-0.108
5203,2809,241,84,,,,0.11825819210524,-0.023,-0.116
5225,2811,175,71,,,,0.114004385880544,-0.001,-0.114
5203,2801,228,81,,,,0.126115026860402,-0.023,-0.124
5220,2815,174,72,,,,0.110163514831363,-0.006,-0.11
5210,2808,195,78,,,,0.118088949525347,-0.016,-0.117
5233,2803,156,72,,,,0.122200654662731,0.007,-0.122
5189,2805,260,84,,,,0.125574678976296,-0.037,-0.12
5220,2811,195,70,,,,0.114157785542643,-0.006,-0.114
5309,2814,45,60,,,,0.138600144300069,0.083,-0.111
5266,2811,131,80,,,,0.120813906484312,0.04,-0.114
5270,2808,113,73,,,,0.125,0.044,-0.117
5271,2799,94,73,,,,0.133794618725866,0.045,-0.126
5222,2797,197,83,,,,0.128062484748657,-0.004,-0.128
5237,2800,151,72,,,,0.125483066586691,0.011,-0.125
5247,2808,134,73,,,,0.118869676536954,0.021,-0.117
5268,2804,102,72,,,,0.128082004981184,0.042,-0.121
5238,2804,158,79,,,,0.121593585357123,0.012000000000001,-0.121
5188,2798,265,85,,,,0.132563192478153,-0.038,-0.127
5214,2798,192,71,,,,0.127565669362881,-0.012,-0.127
5242,2799,132,70,,,,0.127011810474459,0.016,-0.126
5220,2802,164,78,,,,0.123146254510643,-0.006,-0.123
5248,2811,109,70,,,,0.1161034021896,0.022,-0.114
5253,2811,97,73,,,,0.1171537451386,0.027,-0.114
5267,2805,68,71,,,,0.126810882813739,0.041,-0.12
5247,2811,109,77,,,,0.11591807451817,0.021,-0.114
5268,2829,91,72,,,,0.104785495179437,0.042,-0.096
5215,2823,209,84,,,,0.102591422643416,-0.011,-0.102
5228,2820,155,72,,,,0.105019045891686,0.002,-0.105
5208,2818,207,80,,,,0.108503456166151,-0.018,-0.107
5227,2811,151,71,,,,0.114004385880544,0.001,-0.114
5240,2815,113,72,,,,0.110887330205033,0.014,-0.11
5236,2823,98,73,,,,0.102489023802552,0.01,-0.102
5246,2812,78,72,,,,0.114756263445618,0.020000000000001,-0.113
5259,2807,64,72,,,,0.122527547922906,0.033,-0.118
5230,2800,133,80,,,,0.125063983624383,0.004,-0.125
5219,2807,152,77,,,,0.118207444774007,-0.007,-0.118
5245,2811,104,70,,,,0.115572488075666,0.019,-0.114
5257,2806,85,72,,,,0.122971541423209,0.031,-0.119
5267,2812,79,73,,,,0.120208152801713,0.041,-0.113
5279,2813,52,71,,,,0.123907223356832,0.053,-0.112
5287,2816,35,71,,,,0.124907966119059,0.061,-0.109
5248,2818,127,81,,,,0.109238271681677,0.022,-0.107
5257,2820,87,71,,,,0.109480591887329,0.031,-0.105
5260,2824,72,72,,,,0.106569226327303,0.034,-0.101
5333,2821,4294967248,61,,,,0.149214610544678,0.107,-0.104
