x,y,z,q,,act_x,act_y,dist,forward,lateral
6168,4016,238,51,,6.228,3.877,0.151396829557293,-0.06,0.139
6150,4015,277,78,,,,0.158518137763475,-0.077999999999999,0.138
6145,4026,290,54,,,,0.170557908054713,-0.083,0.149
6151,4034,276,52,,,,0.174865662724275,-0.077,0.157
6152,4041,275,53,,,,0.18075397644312,-0.076,0.164000000000001
6166,4044,258,51,,,,0.178137587274555,-0.061999999999999,0.167
6163,4042,259,53,,,,0.177341478509682,-0.065,0.165
6162,4029,251,53,,,,0.165710591091819,-0.066,0.152
6161,4031,254,52,,,,0.167943442860982,-0.067,0.154
6159,4028,256,53,,,,0.166018071305506,-0.069,0.151
6158,4039,255,52,,,,0.176476627347646,-0.069999999999999,0.162
6153,4049,257,52,,,,0.187640613940587,-0.075,0.172000000000001
6160,4048,257,52,,,,0.184024454896625,-0.068,0.171
6161,4039,275,54,,,,0.17530829986056,-0.067,0.162
6158,4036,265,53,,,,0.17372679701186,-0.069999999999999,0.159
6158,4031,262,53,,,,0.169162643630324,-0.069999999999999,0.154
6168,4037,261,52,,,,0.170880074906351,-0.06,0.16
6173,4041,263,52,,,,0.172976877067428,-0.055,0.164000000000001
6154,4048,286,54,,,,0.186324984905407,-0.074,0.171
6157,4042,268,52,,,,0.179627392120467,-0.071,0.165
6152,4053,269,53,,,,0.191708111461148,-0.076,0.176
6151,4044,260,53,,,,0.183896710139143,-0.077,0.167
6159,4042,265,53,,,,0.178846302729467,-0.069,0.165
6164,4028,250,53,,,,0.16400304875215,-0.064,0.151
6155,4033,252,53,,,,0.172235304162649,-0.073,0.156000000000001
6152,4029,252,53,,,,0.169941166289984,-0.076,0.152
6153,4030,252,53,,,,0.170393661853956,-0.075,0.153
6157,4032,236,52,,,,0.170487536201331,-0.071,0.155
6153,4041,250,53,,,,0.180335797888273,-0.075,0.164000000000001
6153,4036,271,54,,,,0.175801023887803,-0.075,0.159
6150,4033,257,53,,,,0.174413302244984,-0.077999999999999,0.156000000000001
6160,4036,250,52,,,,0.172930621926829,-0.068,0.159
6157,4031,266,54,,,,0.169578890195684,-0.071,0.154
6152,4034,268,53,,,,0.174427635425124,-0.076,0.157
6135,4033,275,54,,,,0.181617730411984,-0.093,0.156000000000001
6138,4040,283,53,,,,0.186196133149967,-0.09,0.163
6138,4037,276,53,,,,0.183575597506858,-0.09,0.16
6138,4040,273,53,,,,0.186196133149967,-0.09,0.163
6129,4031,288,55,,,,0.183076486748026,-0.099,0.154
6144,4039,277,52,,,,0.182482875908946,-0.084,0.162
6138,4037,283,54,,,,0.183575597506858,-0.09,0.16
6135,4028,278,54,,,,0.177341478509682,-0.093,0.151
6147,4028,273,53,,,,0.171353435915361,-0.081,0.151
6156,4033,274,53,,,,0.171813852759317,-0.072,0.156000000000001
6148,4032,277,54,,,,0.174427635425124,-0.08,0.155
6162,4033,263,52,,,,0.169387130561918,-0.066,0.156000000000001
6170,4037,258,52,,,,0.170188131196039,-0.058,0.16
6167,4023,250,53,,,,0.15823084402227,-0.061,0.146
6161,4021,255,53,,,,0.158823801742686,-0.067,0.144
6158,4014,261,54,,,,0.153847326918605,-0.069999999999999,0.137
6150,4021,259,53,,,,0.163768128767474,-0.077999999999999,0.144
6148,4026,269,53,,,,0.169118301789014,-0.08,0.149
6144,4029,258,53,,,,0.173666346768739,-0.084,0.152
6151,4035,276,53,,,,0.175764046380368,-0.077,0.158
6153,4036,260,52,,,,0.175801023887803,-0.075,0.159
6149,4033,265,54,,,,0.174862803363094,-0.079,0.156000000000001
6147,4027,265,54,,,,0.170472871742105,-0.081,0.15
6149,4028,282,54,,,,0.170417135288679,-0.079,0.151
6150,4029,287,54,,,,0.170844958954018,-0.077999999999999,0.152
6162,4027,259,51,,,,0.163878003404972,-0.066,0.15
6159,4031,269,53,,,,0.168751296291317,-0.069,0.154
6158,4034,262,52,,,,0.171898225703467,-0.069999999999999,0.157
6149,4035,274,54,,,,0.176649370222484,-0.079,0.158
6141,4033,262,53,,,,0.178619707759251,-0.087,0.156000000000001
6141,4035,273,54,,,,0.18036906608396,-0.087,0.158
6152,4035,256,52,,,,0.175328263551545,-0.076,0.158
6152,4031,253,53,,,,0.171732349893664,-0.076,0.154
6144,4019,251,54,,,,0.164984847789123,-0.084,0.142
6153,4039,255,52,,,,0.178518906561742,-0.075,0.162
6163,4028,257,53,,,,0.164395863694924,-0.065,0.151
6163,4037,255,52,,,,0.172699160391705,-0.065,0.16
6172,4040,247,52,,,,0.17235138525698,-0.056,0.163
6168,4037,246,53,,,,0.170880074906351,-0.06,0.16
6160,4031,254,54,,,,0.168344884092151,-0.068,0.154
