x,y,z,q,,act_x,act_y,dist,forward,lateral
4035,934,56,65,,4.229,0.863,0.206584123300896,-0.194,0.071
4038,941,57,64,,,,0.206312869205971,-0.191,0.078
4033,956,49,64,,,,0.21694469341286,-0.196,0.093
4035,955,49,63,,,,0.214709105535839,-0.194,0.092
4034,971,53,65,,,,0.222910295859119,-0.195,0.108
4034,959,40,62,,,,0.21734994824016,-0.195,0.096
4040,950,32,62,,,,0.208062490612796,-0.189,0.087
4038,963,41,65,,,,0.215594526832199,-0.191,0.1
4040,979,61,66,,,,0.22175887806354,-0.189,0.116
4036,1002,57,65,,,,0.237844487007793,-0.193000000000001,0.139
4044,988,52,63,,,,0.223271135617661,-0.185000000000001,0.125
4046,987,55,64,,,,0.221054291973714,-0.183,0.124
4042,992,70,66,,,,0.227178344038335,-0.187,0.129
4042,989,58,63,,,,0.225488358901297,-0.187,0.126
4042,984,73,65,,,,0.222733024044483,-0.187,0.121
4041,973,73,64,,,,0.217816436478058,-0.188,0.11
4049,964,82,64,,,,0.206400096899202,-0.18,0.101
4032,1018,87,68,,,,0.250667109928686,-0.197,0.155
4025,1016,77,65,,,,0.255,-0.204,0.153
4030,1006,74,64,,,,0.245051015096857,-0.199,0.143
4024,1012,66,65,,,,0.253428490900293,-0.205,0.149
4035,995,56,63,,,,0.234648673552611,-0.194,0.132
4042,1004,86,67,,,,0.234200768572608,-0.187,0.141
4040,997,104,66,,,,0.231682973047223,-0.189,0.134
4047,981,97,64,,,,0.21690550938139,-0.182,0.118
4037,983,72,63,,,,0.226415547169359,-0.192,0.12
4032,979,63,64,,,,0.228615397556683,-0.197,0.116
4033,962,65,63,,,,0.219583697026896,-0.196,0.099
4027,996,55,65,,,,0.24185326129701,-0.202,0.133
4028,1001,47,64,,,,0.243813453279347,-0.201000000000001,0.138
4027,1006,58,65,,,,0.247493434256345,-0.202,0.143
4027,983,52,63,,,,0.234955314900515,-0.202,0.12
4025,989,40,63,,,,0.239774894432257,-0.204,0.126
4030,993,53,65,,,,0.237699389986596,-0.199,0.13
4023,1010,24,63,,,,0.253071136244338,-0.206,0.147
4025,1001,29,64,,,,0.246292509021285,-0.204,0.138
4037,973,40,63,,,,0.221278105559497,-0.192,0.11
4046,970,42,64,,,,0.211985848584286,-0.183,0.107
4043,978,14,62,,,,0.218680131699247,-0.186,0.115
4041,961,38,64,,,,0.212009433752368,-0.188,0.098
4036,971,53,65,,,,0.221162835937687,-0.193000000000001,0.108
4023,1009,43,66,,,,0.252491584018161,-0.206,0.146
4017,1033,40,66,,,,0.271742525196186,-0.212,0.17
4025,1032,63,66,,,,0.26490941848111,-0.204,0.169
4036,1029,66,65,,,,0.254568261965234,-0.193000000000001,0.166
4041,1029,60,64,,,,0.250798724079689,-0.188,0.166
4042,1016,75,65,,,,0.241615396860382,-0.187,0.153
4028,1005,69,64,,,,0.2460995733438,-0.201000000000001,0.142
4028,992,52,63,,,,0.238834670849942,-0.201000000000001,0.129
4037,970,45,62,,,,0.219802183792609,-0.192,0.107
4025,981,28,63,,,,0.235669259768855,-0.204,0.118
4029,982,33,64,,,,0.232725159791545,-0.2,0.119
4027,997,38,65,,,,0.242404620418011,-0.202,0.134
4028,993,60,66,,,,0.239376272842569,-0.201000000000001,0.13
4021,984,46,63,,,,0.240634577731464,-0.208,0.121
4035,976,44,63,,,,0.224510578815342,-0.194,0.113
4039,970,47,64,,,,0.21805733191067,-0.19,0.107
4037,976,47,64,,,,0.222784649381415,-0.192,0.113
4030,990,45,65,,,,0.236072022908264,-0.199,0.127
4038,989,50,64,,,,0.228816520382598,-0.191,0.126
4033,988,45,64,,,,0.232467201987721,-0.196,0.125
4026,1017,51,66,,,,0.254803846124818,-0.203,0.154
4024,1026,36,64,,,,0.261904562770487,-0.205,0.163
4030,1014,45,64,,,,0.249803923107704,-0.199,0.151
4025,1025,53,66,,,,0.260499520153109,-0.204,0.162
4032,996,67,64,,,,0.237693079411244,-0.197,0.133
4037,972,60,62,,,,0.220782698597513,-0.192,0.109
4047,960,68,64,,,,0.206235302506627,-0.182,0.097
