x,y,z,q,,act_x,act_y,dist
6051,4941,572,74,,6.226,4.945,0.175045708316428
6054,4927,582,73,,,,0.17293929570806
6037,4910,606,73,,,,0.192213423048444
6054,4895,588,72,,,,0.179120071460459
6059,4895,582,72,,,,0.174324410224157
6063,4888,614,74,,,,0.172678892746045
6042,4880,633,73,,,,0.195143536915779
6055,4874,632,74,,,,0.18515398996511
6064,4892,595,69,,,,0.170449405983124
6052,4879,612,73,,,,0.186096749031251
6071,4881,585,70,,,,0.16769317219255
6066,4877,609,73,,,,0.173850510496806
6073,4888,583,70,,,,0.163272777890253
6079,4877,604,74,,,,0.161966045824426
6069,4875,646,73,,,,0.171898225703467
6059,4886,640,73,,,,0.177115781340907
6057,4885,666,73,,,,0.17933488227336
6051,4894,646,72,,,,0.182280004388852
6038,5086,642,55,,,,0.235
6053,5031,631,73,,,,0.193196790863616
6055,5176,599,53,,,,0.28740563668794
6055,5093,591,73,,,,0.226152603345617
6060,5054,612,73,,,,0.198587512195506
6186,5009,437,47,,,,0.075471849056453
6158,4995,460,70,,,,0.084403791384036
6116,4952,519,73,,,,0.110222502239788
6117,4947,530,71,,,,0.109018347079746
6106,5118,486,50,,,,0.210544532106631
6105,5074,482,69,,,,0.176867181806009
6090,5031,512,72,,,,0.160909912684085
6076,5000,545,73,,,,0.159765453086705
6068,4953,561,73,,,,0.158202402004521
6074,4930,583,74,,,,0.152738338343718
6074,4899,561,70,,,,0.158808060248843
6070,4897,567,72,,,,0.163217646104825
6073,4881,574,74,,,,0.165846314399808
6071,4888,589,73,,,,0.165148418097177
6066,4902,601,72,,,,0.165677397372122
6069,4881,578,71,,,,0.169543504741409
6057,4881,593,73,,,,0.180712478816489
6059,4880,576,71,,,,0.179203794602681
6044,4878,631,73,,,,0.193940712590214
6040,4874,617,73,,,,0.199090431713832
6051,4863,614,74,,,,0.19325889371514
6055,4854,622,73,,,,0.193705962737341
6049,4846,615,73,,,,0.202805325373867
6052,4850,617,74,,,,0.198244798166308
6062,4849,586,71,,,,0.190031576323515
6068,5058,557,51,,,,0.194249839124773
6069,4998,591,73,,,,0.165704556364633
6056,4971,602,73,,,,0.171976742613645
6063,4940,579,71,,,,0.163076669085434
6053,4925,617,73,,,,0.174152232256724
6055,5095,553,51,,,,0.227466481047208
6048,5051,565,72,,,,0.207171426601257
6050,5025,587,73,,,,0.193328735577513
6052,5194,587,53,,,,0.303771295549793
6070,5100,580,72,,,,0.2199113457737
6077,5032,578,73,,,,0.172539850469391
6071,4973,597,73,,,,0.157508729916789
6058,4971,619,73,,,,0.17
6078,4946,591,71,,,,0.14800337833982
6071,4926,608,74,,,,0.156160174180231
6076,4928,611,72,,,,0.150960259671213
6076,4921,601,72,,,,0.151907866814066
6077,4904,581,71,,,,0.15453802121161
6070,4911,578,71,,,,0.159662143290136
6069,5088,540,52,,,,0.212362896947654
6074,5016,540,72,,,,0.167764716195033
6061,4993,543,71,,,,0.171840041899436
6051,4949,577,73,,,,0.175045708316428
6056,5123,542,51,,,,0.246138172577924
6054,5081,545,70,,,,0.219271521178652
6050,5226,525,51,,,,0.331567489359255
6065,5148,518,70,,,,0.259094577326504
6076,5082,505,69,,,,0.203147729497526
6078,5028,533,73,,,,0.169685002283643
6070,4967,539,72,,,,0.157543644746463
6083,4946,552,73,,,,0.143003496460751
6085,4932,577,74,,,,0.141598022585063
6073,4916,581,73,,,,0.155724115023974
6080,4930,579,70,,,,0.146768525236169
6087,4918,573,72,,,,0.141598022585063
6083,4909,593,74,,,,0.147461859475594
6082,5104,560,50,,,,0.214515733688697
6077,5110,540,75,,,,0.222319589780118
6099,5056,516,69,,,,0.16867127793433
6095,5214,498,50,,,,0.299202272718641
6098,5135,499,70,,,,0.229093867224768
6081,5075,525,73,,,,0.194743420941504
6102,5029,525,71,,,,0.149773161814792
6080,4943,559,75,,,,0.146013697987552
6075,5122,536,51,,,,0.232658548091403
6074,5047,548,73,,,,0.183051905207239
6075,5029,574,72,,,,0.172791782212002
6076,4971,591,73,,,,0.152236657871881
6069,4955,599,73,,,,0.157318148984788
6080,4936,581,71,,,,0.146277134234986
6074,5119,537,50,,,,0.231041121880932
6068,5254,517,51,,,,0.347051869322151
6076,5164,528,72,,,,0.265444909538683
6077,5286,511,51,,,,0.372131697118103
6084,5183,525,72,,,,0.27714256259189
6070,5121,561,73,,,,0.235185033537425
6095,5052,533,69,,,,0.169144908288721
