x,y,z,q,,act_x,act_y,dist
3963,2483,333,82,,3.916,2.465,0.050328918128647
3958,2480,342,83,,,,0.044598206241956
3941,2464,292,78,,,,0.025019992006394
3929,2466,282,81,,,,0.013038404810405
3940,2489,312,84,,,,0.033941125496954
3942,2486,315,82,,,,0.033421549934137
3924,2470,231,75,,,,0.009433981132057
3935,2473,259,83,,,,0.020615528128089
3937,2465,266,81,,,,0.021
3939,2460,291,83,,,,0.02353720459188
3940,2469,302,82,,,,0.024331050121193
3936,2466,288,80,,,,0.020024984394501
3926,2457,274,80,,,,0.012806248474866
3937,2467,312,84,,,,0.021095023109729
3937,2453,289,80,,,,0.024186773244896
3942,2450,296,82,,,,0.030016662039607
3957,2477,353,86,,,,0.042720018726588
3963,2486,364,84,,,,0.051478150704935
3957,2468,343,81,,,,0.041109609582189
3961,2465,344,83,,,,0.045
3960,2477,351,83,,,,0.045607017003966
3949,2469,330,81,,,,0.033241540277189
3952,2467,318,81,,,,0.03605551275464
3961,2478,359,85,,,,0.046840153714522
3941,2483,348,82,,,,0.030805843601499
3931,2474,333,81,,,,0.017492855684536
3943,2470,326,82,,,,0.027459060435492
3942,2461,303,80,,,,0.026305892875932
3944,2462,307,82,,,,0.028160255680658
3925,2440,299,81,,,,0.026570660511173
3933,2445,317,83,,,,0.026248809496813
3938,2451,316,82,,,,0.026076809620811
3927,2438,291,80,,,,0.029154759474226
3935,2440,295,82,,,,0.031400636936215
3944,2448,320,83,,,,0.032756678708318
3948,2439,318,82,,,,0.041231056256177
3942,2438,338,83,,,,0.037483329627983
3943,2445,314,80,,,,0.033600595232823
3944,2439,314,82,,,,0.038209946349086
3945,2442,297,80,,,,0.037013511046643
3936,2437,276,80,,,,0.034409301068171
3956,2443,313,84,,,,0.045650848842053
3954,2454,286,80,,,,0.039560080889705
3950,2448,294,82,,,,0.038013155617497
3953,2447,296,82,,,,0.041146081222882
3936,2437,259,78,,,,0.034409301068171
3946,2435,279,82,,,,0.042426406871193
3937,2427,288,82,,,,0.043416586692185
3927,2440,295,82,,,,0.027313000567495
3931,2449,312,83,,,,0.021931712199461
3925,2456,285,80,,,,0.012727922061358
3934,2477,299,82,,,,0.021633307652784
3943,2476,314,83,,,,0.029154759474227
3948,2471,294,80,,,,0.0325576411922
3939,2456,284,81,,,,0.024698178070457
3933,2444,274,80,,,,0.027018512172213
3935,2451,278,81,,,,0.023600847442412
3929,2440,280,81,,,,0.028178005607211
3926,2444,276,81,,,,0.023259406699226
3933,2442,269,80,,,,0.02860069929215
3944,2438,276,82,,,,0.038897300677553
3947,2449,295,83,,,,0.034885527085025
3951,2466,311,83,,,,0.035014282800023
3936,2443,277,79,,,,0.029732137494637
3951,2452,305,83,,,,0.037336309405189
3959,2435,309,82,,,,0.052430906915673
3956,2450,304,81,,,,0.042720018726588
3958,2463,324,83,,,,0.042047592083258
3934,2460,288,79,,,,0.01868154169227
3941,2454,291,82,,,,0.027313000567495
3947,2451,280,80,,,,0.03401470270339
3957,2448,294,82,,,,0.044384682042344
3964,2453,306,83,,,,0.049477267507412
3956,2451,313,82,,,,0.042379240200834
3939,2451,255,77,,,,0.026925824035673
3945,2444,267,82,,,,0.035805027579936
3956,2443,289,83,,,,0.045650848842053
3960,2444,318,84,,,,0.048754486972996
3943,2439,307,81,,,,0.037483329627983
3944,2445,280,80,,,,0.034409301068171
3952,2442,305,83,,,,0.042720018726588
3935,2435,288,80,,,,0.035510561809129
3945,2431,285,81,,,,0.044687805943009
3954,2453,311,83,,,,0.039849717690343
3954,2451,314,82,,,,0.040496913462633
3944,2450,300,81,,,,0.031764760348537
3951,2453,291,81,,,,0.037
3954,2460,313,83,,,,0.038327535793474
3939,2443,295,82,,,,0.031827660925679
3934,2449,274,80,,,,0.024083189157585
3930,2447,258,80,,,,0.022803508501983
3933,2452,266,81,,,,0.021400934559033
3932,2445,270,81,,,,0.025612496949732
3931,2445,272,81,,,,0.025
3927,2437,280,82,,,,0.030083217912983
3933,2444,289,82,,,,0.027018512172213
3944,2452,328,84,,,,0.030870698080866
3950,2440,318,81,,,,0.042201895692019
3955,2452,322,82,,,,0.041109609582189
3953,2451,311,81,,,,0.039560080889705
3939,2457,283,80,,,,0.024351591323772
3950,2462,306,83,,,,0.034132096331752
3954,2471,303,82,,,,0.038470768123343
3955,2466,300,81,,,,0.039012818406263
3951,2475,315,83,,,,0.036400549446403
3949,2469,292,80,,,,0.033241540277189
3943,2459,289,81,,,,0.027658633371879
3952,2460,318,84,,,,0.036345563690773
3958,2450,344,84,,,,0.044598206241956
3944,2449,318,80,,,,0.032249030993194
3940,2446,321,82,,,,0.030610455730028
3951,2459,328,83,,,,0.03551056180913
3953,2455,329,82,,,,0.038327535793474
3939,2442,315,81,,,,0.032526911934581
3941,2447,317,82,,,,0.030805843601499
3946,2460,326,83,,,,0.030413812651491
3938,2465,312,81,,,,0.022
3923,2453,315,82,,,,0.01389244398945
3923,2455,292,80,,,,0.012206555615734
3929,2458,294,82,,,,0.014764823060233
3931,2443,289,81,,,,0.026627053911389
3936,2455,287,81,,,,0.022360679774998
3937,2467,303,83,,,,0.021095023109729
3934,2468,315,83,,,,0.018248287590895
3945,2480,346,84,,,,0.032649655434629
3942,2480,309,79,,,,0.030016662039608
3942,2465,290,80,,,,0.026
3945,2459,291,81,,,,0.029614185789922
3947,2438,309,83,,,,0.041109609582189
3934,2426,268,78,,,,0.042953463189829
3930,2440,257,80,,,,0.028653097563789
3944,2443,300,84,,,,0.03560898762953
3959,2463,345,85,,,,0.043046486500062
3950,2454,333,81,,,,0.035735136770412
3947,2455,337,83,,,,0.032572994949805
3957,2456,353,84,,,,0.041976183723631
3958,2463,372,84,,,,0.042047592083258
3954,2470,375,83,,,,0.038327535793474
3959,2481,379,83,,,,0.045880278987818
3947,2461,344,80,,,,0.031256999216176
3939,2467,341,82,,,,0.023086792761231
3941,2468,346,83,,,,0.025179356624028
3940,2469,347,83,,,,0.024331050121193
3932,2453,316,80,,,,0.02
3929,2447,285,79,,,,0.022203603311174
3922,2442,281,81,,,,0.023769728648009
3933,2452,283,81,,,,0.021400934559033
3933,2446,271,80,,,,0.025495097567964
3933,2454,280,82,,,,0.020248456731316
3937,2465,306,83,,,,0.021
3929,2461,289,80,,,,0.013601470508735
3941,2455,267,79,,,,0.026925824035672
3939,2442,271,81,,,,0.032526911934581
3936,2437,260,80,,,,0.034409301068171
3938,2432,279,82,,,,0.039661064030104
3948,2443,283,82,,,,0.038832975677895
3943,2435,272,80,,,,0.040360872141221
3945,2445,270,81,,,,0.035227829907617
3955,2448,303,84,,,,0.042544094772365
3954,2456,290,81,,,,0.039051248379534
3951,2450,289,81,,,,0.03807886552932
3959,2448,295,82,,,,0.046238512086788
3958,2455,282,80,,,,0.043174066289846
3955,2457,292,82,,,,0.039812058474789
3956,2443,278,80,,,,0.045650848842053
3939,2435,226,77,,,,0.037802116342872
3935,2435,243,81,,,,0.035510561809129
3930,2436,235,80,,,,0.032202484376209
3930,2435,235,80,,,,0.033105890714494
3923,2430,193,77,,,,0.035693136595149
3927,2419,197,80,,,,0.047296934361542
