x,y,z,q,,act_x,act_y,dist,forward,lateral
3192,1757,200,72,,3.217,1.901,0.146154028339968,-0.025,-0.144
3195,1766,210,72,,,,0.136780846612382,-0.022,-0.135
3183,1754,184,68,,,,0.150880747612146,-0.034,-0.147
3180,1744,175,69,,,,0.161300960939481,-0.037,-0.157
3189,1748,173,70,,,,0.155540991381693,-0.028,-0.153
3180,1741,149,68,,,,0.164222410163778,-0.037,-0.16
3179,1746,150,70,,,,0.159590099943574,-0.038,-0.155
3178,1741,133,68,,,,0.164684546937471,-0.039,-0.16
3170,1731,121,68,,,,0.176377436198625,-0.047,-0.17
3177,1744,134,71,,,,0.162015431363806,-0.04,-0.157
3187,1738,148,70,,,,0.165737744644966,-0.03,-0.163
3180,1746,149,70,,,,0.159354949719173,-0.037,-0.155
3190,1750,164,71,,,,0.153394915169963,-0.027,-0.151
3195,1757,155,70,,,,0.145670861877041,-0.022,-0.144
3207,1752,180,78,,,,0.149335193440796,-0.01,-0.149
3209,1757,196,72,,,,0.14422205101856,-0.008,-0.144
3208,1750,204,71,,,,0.151267974138613,-0.009,-0.151
3200,1751,183,69,,,,0.150960259671213,-0.017,-0.15
3205,1746,201,72,,,,0.155463822158083,-0.012,-0.155
3215,1753,216,73,,,,0.148013512896627,-0.002,-0.148
3202,1756,200,71,,,,0.145773797371133,-0.015,-0.145
3190,1752,176,68,,,,0.151426549851735,-0.027,-0.149
3195,1755,181,71,,,,0.147648230602334,-0.022,-0.146
3198,1757,209,73,,,,0.145248063670398,-0.019,-0.144
3194,1754,194,70,,,,0.148788440411209,-0.023,-0.147
3189,1739,189,70,,,,0.164401946460497,-0.028,-0.162
3182,1740,178,69,,,,0.164760432143158,-0.035,-0.161
3191,1743,172,70,,,,0.160124951209985,-0.026,-0.158
3194,1754,181,71,,,,0.148788440411209,-0.023,-0.147
3190,1750,162,69,,,,0.153394915169963,-0.027,-0.151
3182,1746,156,69,,,,0.158902485820707,-0.035,-0.155
3178,1745,165,70,,,,0.160801119399089,-0.039,-0.156
3189,1729,179,71,,,,0.174264167286336,-0.028,-0.172
3195,1735,210,73,,,,0.167451485511476,-0.022,-0.166
3190,1741,206,71,,,,0.162262133598693,-0.027,-0.16
3194,1746,213,72,,,,0.156697160152952,-0.023,-0.155
