x,y,z,q,,act_x,act_y,dist,forward,lateral
3239,4761,4294967219,55,,3.185,4.886,0.136165340670818,0.054,-0.125
3221,4796,4294967238,54,,,,0.096932966528421,0.036,-0.09
3247,4764,4294967200,54,,,,0.136850283156448,0.062,-0.122
3230,4787,4294967246,57,,,,0.108747413762351,0.045,-0.099
3248,4754,4294967199,53,,,,0.146263460918987,0.063,-0.132000000000001
3260,4740,4294967172,53,,,,0.164137137784232,0.075,-0.146
3247,4763,4294967237,59,,,,0.137742513408171,0.062,-0.123
3252,4753,4294967208,54,,,,0.148922798791857,0.067,-0.133
3234,4779,4294967233,55,,,,0.117686022959398,0.049,-0.107
3254,4747,4294967209,55,,,,0.155183762037141,0.069,-0.139
3229,4806,4294967250,54,,,,0.091301697684107,0.044,-0.08
3246,4779,4294967206,53,,,,0.123166553901617,0.061,-0.107
3228,4797,4294967234,56,,,,0.098843310345213,0.043,-0.089
3246,4779,4294967195,53,,,,0.123166553901617,0.061,-0.107
3224,4811,4294967249,57,,,,0.084534016821633,0.039,-0.075
3255,4768,4294967215,55,,,,0.13720058308914,0.07,-0.118
3238,4782,4294967244,57,,,,0.116726175299288,0.053,-0.104
3231,4784,4294967266,57,,,,0.111892805845595,0.046,-0.102
3243,4778,4294967214,52,,,,0.122588743365776,0.058,-0.108000000000001
3220,4801,4294967245,56,,,,0.091923881554251,0.035,-0.085
3216,4821,4294967244,53,,,,0.072013887549556,0.031,-0.065
3239,4776,4294967217,55,,,,0.122539789456323,0.054,-0.11
3221,4788,4294967256,57,,,,0.104403065089105,0.036,-0.098
3246,4773,4294967218,53,,,,0.128413394939936,0.061,-0.113
3225,4811,4294967237,54,,,,0.085,0.04,-0.075
3246,4774,4294967212,55,,,,0.127534309109353,0.061,-0.112
3265,4740,4294967180,54,,,,0.166481230173254,0.08,-0.146
3273,4729,4294967147,52,,,,0.179980554505202,0.088,-0.157
3264,4721,4294967136,54,,,,0.182937147676463,0.079,-0.165
3272,4709,4294967133,55,,,,0.197225758966724,0.087,-0.177000000000001
3270,4702,4294967124,54,,,,0.202684483865934,0.085,-0.184
3253,4733,4294967177,57,,,,0.167430582630534,0.068,-0.153
3235,4771,4294967223,56,,,,0.125399362039845,0.05,-0.115
3249,4753,4294967204,55,,,,0.147597425451801,0.064,-0.133
3268,4732,4294967186,55,,,,0.174942847810363,0.083,-0.154
3279,4720,4294967165,54,,,,0.190766873434567,0.094,-0.166
3287,4707,4294967148,54,,,,0.206021843502091,0.102,-0.179
3291,4710,4294967155,55,,,,0.205455591308682,0.106,-0.176
3283,4705,4294967158,55,,,,0.205827597760844,0.098,-0.181
3285,4703,4294967161,55,,,,0.20854016399725,0.1,-0.183
3289,4711,4294967133,52,,,,0.203570626564836,0.104,-0.175
3298,4687,4294967129,55,,,,0.228844925659277,0.113,-0.199
3309,4693,4294967102,52,,,,0.22940139493909,0.124,-0.193000000000001
3268,4735,4294967154,55,,,,0.172307864010903,0.083,-0.151
3244,4759,4294967184,55,,,,0.140035709731482,0.059,-0.127
3258,4730,4294967142,52,,,,0.172235304162648,0.073,-0.156
