x,y,z,q,,act_x,act_y,dist,forward,lateral
6154,1798,232,59,,6.232,1.908,0.134848062648301,-0.078,-0.11
6150,1807,255,63,,,,0.130096118312577,-0.082,-0.101
6160,1811,248,61,,,,0.120801490057035,-0.072,-0.097
6161,1806,237,60,,,,0.124277914369368,-0.071000000000001,-0.102
6158,1814,253,63,,,,0.119632771429905,-0.074,-0.094
6153,1819,256,62,,,,0.119004201606498,-0.079000000000001,-0.089
6141,1818,271,63,,,,0.127988280713509,-0.091,-0.09
6142,1808,258,60,,,,0.134536240470737,-0.09,-0.1
6144,1811,243,61,,,,0.13096946208945,-0.088,-0.097
6147,1819,258,63,,,,0.123069086288962,-0.085,-0.089
6159,1822,267,62,,,,0.112805141726785,-0.073,-0.086
6152,1818,246,60,,,,0.120415945787923,-0.08,-0.09
6153,1808,230,60,,,,0.127440182046324,-0.079000000000001,-0.1
6159,1813,225,61,,,,0.119808180021233,-0.073,-0.095
6151,1827,245,63,,,,0.114551298552221,-0.081,-0.081
6155,1825,238,61,,,,0.113216606555752,-0.077,-0.083
6151,1819,242,61,,,,0.120341181646185,-0.081,-0.089
6145,1813,238,61,,,,0.128817700647078,-0.087000000000001,-0.095
6148,1807,237,61,,,,0.131365901207277,-0.084000000000001,-0.101
6151,1806,246,62,,,,0.130249760076555,-0.081,-0.102
6150,1798,239,60,,,,0.13720058308914,-0.082,-0.11
6157,1792,246,61,,,,0.138133992919918,-0.075,-0.116
6160,1804,263,63,,,,0.126491106406735,-0.072,-0.104
6161,1810,242,60,,,,0.121016527796826,-0.071000000000001,-0.098
6162,1807,250,61,,,,0.122886126149375,-0.07,-0.101
6161,1801,247,61,,,,0.128413394939936,-0.071000000000001,-0.107
6167,1803,235,60,,,,0.123490890352285,-0.065,-0.105
6161,1800,255,62,,,,0.129247823966209,-0.071000000000001,-0.108
6152,1806,254,62,,,,0.12963024338479,-0.08,-0.102
6149,1803,248,61,,,,0.133843191832831,-0.083,-0.105
6159,1808,241,60,,,,0.123810338825156,-0.073,-0.1
6159,1817,236,61,,,,0.116661904664719,-0.073,-0.091
6155,1817,231,61,,,,0.119205704561485,-0.077,-0.091
6160,1820,219,60,,,,0.113701363228415,-0.072,-0.088
6166,1814,223,60,,,,0.11485643212289,-0.066,-0.094
6167,1824,247,63,,,,0.106212052046837,-0.065,-0.084
6162,1823,267,63,,,,0.110113577727726,-0.07,-0.085
6153,1820,272,62,,,,0.118258192105241,-0.079000000000001,-0.088
6155,1821,266,61,,,,0.116180893437777,-0.077,-0.087
6149,1822,267,62,,,,0.119519872824564,-0.083,-0.086
6148,1823,288,63,,,,0.119503138034112,-0.084000000000001,-0.085
6161,1811,263,59,,,,0.120208152801713,-0.071000000000001,-0.097
6168,1792,277,71,,,,0.132483961293433,-0.064,-0.116
6154,1802,298,64,,,,0.131605471010897,-0.078,-0.106
6142,1817,307,64,,,,0.127988280713509,-0.09,-0.091
6143,1828,298,62,,,,0.119670380629461,-0.089,-0.08
6152,1821,283,61,,,,0.118190524154858,-0.08,-0.087
6150,1816,278,61,,,,0.123239604024031,-0.082,-0.092
6149,1811,263,61,,,,0.127663620503259,-0.083,-0.097
6156,1820,249,61,,,,0.116275534829989,-0.076000000000001,-0.088
6151,1825,247,62,,,,0.115974135047432,-0.081,-0.083
6151,1823,227,60,,,,0.117413798166996,-0.081,-0.085
6131,1829,266,65,,,,0.128226362344098,-0.101,-0.079
6138,1825,267,62,,,,0.125399362039845,-0.094,-0.083
6131,1832,286,64,,,,0.126400158227749,-0.101,-0.076
6127,1839,301,64,,,,0.125642349548232,-0.105,-0.069
6138,1844,289,62,,,,0.113718951806636,-0.094,-0.064
6134,1838,283,62,,,,0.120432553738597,-0.098,-0.07
6138,1837,291,63,,,,0.11780067911519,-0.094,-0.071
6137,1829,283,62,,,,0.12355565547558,-0.095000000000001,-0.079
6146,1825,267,61,,,,0.119519872824564,-0.086,-0.083
6141,1828,286,64,,,,0.121165176515367,-0.091,-0.08
6146,1817,265,60,,,,0.125207827231368,-0.086,-0.091
6147,1821,269,62,,,,0.121630588258053,-0.085,-0.087
6146,1820,260,61,,,,0.123044707322176,-0.086,-0.088
6136,1822,267,63,,,,0.128887547885744,-0.096,-0.086
6127,1824,279,63,,,,0.13446560898609,-0.105,-0.084
6131,1820,275,62,,,,0.133958948935859,-0.101,-0.088
6135,1817,269,61,,,,0.133003759345366,-0.097000000000001,-0.091
6137,1805,277,71,,,,0.140121375956704,-0.095000000000001,-0.103
6147,1802,272,61,,,,0.135871262598093,-0.085,-0.106
6148,1799,269,61,,,,0.137611772752189,-0.084000000000001,-0.109
6148,1806,287,63,,,,0.132136293273272,-0.084000000000001,-0.102
6156,1811,266,60,,,,0.123227432010896,-0.076000000000001,-0.097
6154,1807,271,62,,,,0.127612695293219,-0.078,-0.101
6154,1809,273,62,,,,0.1260357092256,-0.078,-0.099
6157,1809,265,61,,,,0.124201449266907,-0.075,-0.099
6158,1808,276,62,,,,0.124402572320672,-0.074,-0.1
6159,1806,266,61,,,,0.125431256072799,-0.073,-0.102
6142,1803,284,63,,,,0.138293166859393,-0.09,-0.105
6148,1806,285,62,,,,0.132136293273272,-0.084000000000001,-0.102
6150,1804,269,61,,,,0.132438665049146,-0.082,-0.104
6161,1798,247,59,,,,0.130923641868075,-0.071000000000001,-0.11
6157,1797,249,61,,,,0.133962681370597,-0.075,-0.111
6156,1797,247,61,,,,0.134525090596513,-0.076000000000001,-0.111
6153,1799,249,62,,,,0.134617977996997,-0.079000000000001,-0.109
6160,1801,269,62,,,,0.128968988520497,-0.072,-0.107
6159,1790,253,60,,,,0.138755180083484,-0.073,-0.118
6155,1787,257,61,,,,0.143422452914458,-0.077,-0.121
6154,1808,269,63,,,,0.126822710899902,-0.078,-0.1
6152,1807,267,62,,,,0.128844867961437,-0.08,-0.101
6155,1820,272,63,,,,0.116931603940081,-0.077,-0.088
6161,1824,281,62,,,,0.10998636279103,-0.071000000000001,-0.084
6165,1818,268,61,,,,0.112200713010212,-0.067,-0.09
6160,1817,274,62,,,,0.116038786618958,-0.072,-0.091
6159,1812,268,61,,,,0.12060265337048,-0.073,-0.096
6160,1812,264,61,,,,0.12,-0.072,-0.096
6156,1805,244,60,,,,0.128003906190397,-0.076000000000001,-0.103
6148,1804,242,61,,,,0.133686199736547,-0.084000000000001,-0.104
6151,1811,240,61,,,,0.126372465355393,-0.081,-0.097
6157,1807,241,61,,,,0.12580143083447,-0.075,-0.101
6161,1808,229,60,,,,0.122641754716736,-0.071000000000001,-0.1
6154,1798,219,60,,,,0.134848062648301,-0.078,-0.11
6152,1801,240,62,,,,0.133600149700515,-0.08,-0.107
6153,1802,273,63,,,,0.132200605142337,-0.079000000000001,-0.106
6161,1814,296,63,,,,0.11780067911519,-0.071000000000001,-0.094
6165,1820,293,62,,,,0.110602893271379,-0.067,-0.088
6173,1822,273,60,,,,0.104292856898255,-0.059,-0.086
6164,1822,263,61,,,,0.109635760589326,-0.068000000000001,-0.086
6162,1821,256,61,,,,0.111664676599183,-0.07,-0.087
6159,1830,264,64,,,,0.106831643252362,-0.073,-0.078
6150,1824,264,62,,,,0.117388244726633,-0.082,-0.084
6148,1823,266,62,,,,0.119503138034112,-0.084000000000001,-0.085
6149,1814,266,61,,,,0.125399362039845,-0.083,-0.094
6153,1819,269,62,,,,0.119004201606498,-0.079000000000001,-0.089
6154,1829,271,62,,,,0.111018016555873,-0.078,-0.079
6159,1821,255,60,,,,0.113569362065656,-0.073,-0.087
6156,1817,225,59,,,,0.118562219952226,-0.076000000000001,-0.091
6159,1814,217,60,,,,0.119016805536025,-0.073,-0.094
6169,1820,238,62,,,,0.108226614102078,-0.063000000000001,-0.088
6168,1816,241,61,,,,0.112071405808975,-0.064,-0.092
6171,1812,213,59,,,,0.113740933704625,-0.061,-0.096
6169,1804,194,59,,,,0.121593585357123,-0.063000000000001,-0.104
